city,C000,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031
BuenosAires,0.011899313136210177,0.025354316142335655,0.00664576997478682,0.0048440881392800925,0.047017158039272595,0.031355403769697296,0.0017223424495218108,0.03215597405641947,0.03295455089123248,0.025321623531025288,0.040954273402726726,0.02480452210578691,0.048733121442685066,0.043306945345927696,0.013583381309075947,0.016046091797663035,0.007101473081222799,0.04798318483445578,0.020640201067533365,0.012229428772368524,0.030971464931991394,0.07764535055250513,0.025766561997151757,0.11057039835548191,0.04365260990697756,0.023773110087982992,0.03428896759923005,0.05680102000947288,0.0015652584390793123,0.0009237656147088045,0.03262921953965614,0.06675910967653452
Sydney,0.009532728848782191,0.028494839876753088,0.0056159701848863906,0.0059143937075497545,0.038921237019578184,0.022937753259425778,0.0020088509612842544,0.020594427611666476,0.02593961349947846,0.0136297433317364,0.038636032256979105,0.034434869967457815,0.057249248132950285,0.03609162122884798,0.021583431205566942,0.011680176506498023,0.008185216459198895,0.03979687973171525,0.016153725367040905,0.014446502476314385,0.038199012037884165,0.07269757239474262,0.04529828732937785,0.10168711435268933,0.05508577773576259,0.015542457856189504,0.03744434100875963,0.07926329046182341,0.0009289183208809943,0.0013927766285912967,0.025830658871069823,0.0747825313685182
Vienna,0.01678076379066478,0.02826712467165084,0.016969084663568397,0.007977773287532835,0.05171024449383714,0.03805334410992119,0.004364518084461508,0.022783188522933925,0.0236573045059608,0.011058395635481916,0.03856698322893514,0.027732471206304305,0.06438512830874925,0.04609294807031723,0.0174697918771469,0.02032491412406547,0.00901151747827844,0.04387755102040816,0.020722570216205292,0.010728632046878158,0.028957769246312385,0.07881834714083653,0.027944231157809658,0.08610143463325924,0.07181167912709638,0.020573045059608,0.039773691654879775,0.05392564154374621,0.0011707415639523135,0.0017918771468983634,0.019259648413820975,0.04933764396847848
Dhaka,0.015511072103699702,0.02824527731697594,0.008458794670987488,0.009856069081696952,0.04268337769890565,0.04847220078957859,0.0010548879287064542,0.039474910947365716,0.033420858891760864,0.005356821367488394,0.046149438036084,0.026089287321733986,0.06028895490143127,0.03810536501935368,0.014947259622185358,0.008876329359721205,0.005241486953949822,0.06808186412561244,0.021559899952419533,0.0142387767961627,0.025936177873796023,0.058710842560086414,0.02783457428339956,0.05706883414991706,0.05773070097604259,0.03910961832748222,0.03330311330581382,0.062417618276043876,0.0006855766881421755,0.0018288742718259327,0.04967376837313375,0.049587368028496843
SaoPaulo,0.015346836590996905,0.036358926296226515,0.009598957717964356,0.005330758496482618,0.04710426652275681,0.03057192991419694,0.0018592791521240008,0.03533149294767195,0.019539994060525166,0.012614997493286158,0.03471798670962674,0.026138479175115515,0.05118765547214035,0.046136706912463,0.014166126472494803,0.01219628048371594,0.008573121002430075,0.04465622894440204,0.012799807765384358,0.011969558594835212,0.029690189328743545,0.07464498864793923,0.038102449554379726,0.09704694739732851,0.052842166439412565,0.03305349678597773,0.04039840783755217,0.06593735131354998,0.0017275569279503384,0.0018964008698456694,0.028957334772431894,0.05950331940004917
Toronto,0.010573550815236556,0.023622785589259267,0.0032819442574390737,0.003946347624818071,0.04688852449556637,0.023590326799899978,0.0008803945706463547,0.021482509120519085,0.029142382683516384,0.016952704738822957,0.03542977040014875,0.03828774676694429,0.05618816800989953,0.03879145909070508,0.019305766604474025,0.012369203100655908,0.008477754909692435,0.04729005174171459,0.017926468419601584,0.01420893522347676,0.039888646316207914,0.0661109401347721,0.032309318637916994,0.09266062692749107,0.08166471112478922,0.013667955400821968,0.03947189148986645,0.07472494181461463,0.0011412670629043324,0.0008555495713836902,0.022969201818333364,0.06589815473786122
HongKong,0.017420955938491016,0.04349412443562918,0.011005733316402878,0.008846698480920288,0.04925155066358275,0.037421663160026555,0.0017740812951155102,0.03521681965690111,0.03580268840622805,0.008949165237489813,0.046851015746930416,0.031162350740091264,0.06572057034202197,0.04111810117446994,0.016264487995718096,0.021771573873307692,0.00759178208575704,0.040928437217211844,0.01712761973340963,0.013321080184456236,0.045438179997524725,0.060730238381877126,0.030307657441176045,0.07173838268078753,0.05769802604825501,0.016074020377624152,0.03133995978481177,0.03836717013339162,0.0020417003534500358,0.0018556528699532108,0.029689642258415534,0.06367886998857195
Bogota,0.017003340098764645,0.021010659549646014,0.007180812810637175,0.003887059914020424,0.04578252600962076,0.04121985520911575,0.0014055583078963771,0.028966167516340915,0.013691208668275454,0.02103822735045467,0.03842432039378006,0.026980486791427612,0.062217330158375016,0.04344205967430042,0.010142153964169849,0.009859284355872341,0.013385166125964873,0.037163393156792866,0.01424616048455404,0.012777475908139293,0.03146444952295718,0.08248445815287744,0.03317924663992457,0.11517787224521758,0.04415642529525514,0.02765130327777156,0.0332911159765394,0.06492976203793968,0.0014359228421204034,0.002499880139996484,0.02338468668595081,0.07052163073530117
Paris,0.016600912441348856,0.02853286899485331,0.010557612066306236,0.006300634812397512,0.052307080350039774,0.03404323543259786,0.0036777718247203417,0.028279187570016073,0.02747998960920884,0.013359066777068824,0.036334486061727796,0.030493319045995487,0.05461375480979982,0.049391164580390626,0.018191190557368533,0.017633497313006348,0.008561443670546977,0.04210827529102333,0.022604841459256734,0.012457990356046953,0.03588354196093712,0.0750933547643401,0.031840874774730896,0.08730375204974591,0.05882202523013979,0.02499959410972026,0.043180637410095306,0.05677471465913334,0.0014356339194388974,0.0026224570973974316,0.01792411475329989,0.05059097624730083
Mumbai,0.013818641779970858,0.03243986162138968,0.012697667766186633,0.014363932169451223,0.05476324563991168,0.04915792861165491,0.0027403076868066545,0.030980986349861888,0.027214460028426615,0.0028882512269033764,0.05121662331161111,0.029570382686583175,0.05781865965834428,0.02927270776904717,0.016757399411801516,0.010736410201399876,0.004533508541392904,0.057969731913790484,0.018551047225723403,0.020885515835769263,0.023633868790617428,0.06117443035032673,0.02836984991105509,0.08804562560898209,0.05934591970822495,0.029524792834347932,0.028957601437421224,0.05683534911993707,0.0007513386432102408,0.002164177103167154,0.026949413142392305,0.05587036391429108
