n_clusters,silhouette,calinski_harabasz,davies_bouldin,normalized_size_entropy,minimum_cluster_size,maximum_cluster_size,median_cluster_size,view_configuration,split_sample_ari,split_sample_nmi
16,0.14126095175743103,16.90367475162273,2.193043641205528,0.963923569157909,17,67,28.5,E+D+P,0.5338266683871105,0.76019849488862
24,0.18205171823501587,18.625616806148614,1.727829719637943,0.9808506045650763,12,48,19.0,E+D+P,0.6403567581551037,0.8336685790791025
32,0.20099705457687378,19.646929064786413,1.4874240172897548,0.9795699832701202,7,40,15.0,E+D+P,0.7038000946375893,0.8719688254608948
48,0.1892947554588318,18.059308772656674,1.4895652393204244,0.9857630710146325,4,19,11.0,E+D+P,0.7079585971425517,0.8887322576059142
64,0.17122983932495117,16.254445893103416,1.459942771553362,0.9845452033442462,2,16,8.0,E+D+P,0.6897682325048451,0.8946077387767639
80,0.15563532710075378,14.667296562194233,1.4581180360337698,0.9828924435558558,2,14,6.0,E+D+P,0.6630475459254916,0.8990392487691785
96,0.1539839655160904,13.508420962329547,1.415814605951481,0.9813368400717554,2,11,5.0,E+D+P,0.6903585514441036,0.912057905978146
128,0.1409134864807129,11.74038469628944,1.3846816061034426,0.9844564742458671,1,10,4.0,E+D+P,0.6847513199798644,0.9256250572063384
