dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D392,D399,202,0.0005321022038355073,2.261772373332147
D090,D235,659,0.001736107566919879,2.254491185865353
D332,D354,335,0.0008886306406815789,2.253969494244423
D092,D502,789,0.0021114237238890536,2.252546633150923
D056,D344,589,0.001550633951859921,2.250928337609202
D005,D300,832,0.00219003158825313,2.231367497143322
D191,D300,275,0.0007230001825759744,2.229220915692592
D007,D142,302,0.0007980237867038822,2.2263552628215137
D047,D090,467,0.0012342400246606506,2.222575926271504
D055,D356,957,0.0025359425269107583,2.205619688239315
D300,D392,302,0.000793915898905167,2.203904949965901
D215,D393,280,0.0007418309732382508,2.2026348003336658
D130,D298,408,0.0010853419823116,2.195584145476754
D281,D344,261,0.0006839908202399186,2.183463621302768
D047,D179,783,0.0020610890072009073,2.1796183541106284
D182,D199,229,0.0006040586574757885,2.1690919903618657
D003,D049,501,0.0013238206687021178,2.150812611224695
D021,D433,432,0.001134953009101148,2.140624534684692
D184,D325,458,0.0012114580405153128,2.133268209070407
D115,D326,230,0.0006149460138246976,2.126934861192091
D223,D318,1227,0.003301738309911324,2.121254252483829
D027,D451,213,0.0005639508730130987,2.1195910451546203
D278,D318,3242,0.008689657681322651,2.1175619000871526
D093,D505,254,0.0006727091834046916,2.116557877532226
D132,D426,1033,0.0027263806952591866,2.110239190863244
D056,D061,572,0.0015034212326345,2.1041196901933885
D055,D426,221,0.0005863103899487666,2.1019604593020835
D265,D332,356,0.000941188331345647,2.09738392368362
D138,D307,389,0.0010178586492950454,2.0833105363973003
D148,D389,266,0.0007078863984137598,2.0740298128488273
D224,D455,781,0.002049804631345968,2.0638854350439155
D278,D292,4012,0.010686716908136818,2.0604465342095604
D103,D179,2005,0.005271259850553571,2.0538740316467012
D056,D498,390,0.001026388326918556,2.0504185345130606
D182,D215,377,0.0009942920518338963,2.0493896464588364
D313,D395,879,0.0023238078985090417,2.0379933408741415
