city,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
BuenosAires,0.008014474055622093,0.02132275900123275,0.00664576997478682,0.0009237656147088045,0.015268246862705386,0.0014125600228369851,0.0017223424495218108,0.03215597405641947,0.029214037728868214,0.025321623531025288,0.03174891117656721,0.025580373588835394,0.007329523979631706,0.0432148478677241,0.0012056397146652676,0.009537072623845193,0.006606698317367113,0.012612968919692593,0.010796136849676183,0.006778135181555626,0.0036300759265963166,0.04567556490440202,0.027276003782774342,0.0045502533278686174,0.0049991786978134225,0.012229428772368524,0.00032333789966717326,0.020279784962355656,0.047003203875908416,0.025766561997151757,0.0036862912704348754,0.004031557141102905,0.0018319823045260927,0.01551942180326065,0.011090769041851327,0.01537389981389133,0.04180428129679628,0.003920322524571288,0.003884839080588084,0.0023076199300537596,0.02750006777736491,0.004862029206462611,0.023773110087982992,0.009439393480295924,0.008490909061913427,0.031152869055725754,0.02600178932243367,0.0037405131623642657,0.0015652584390793123,0.0009237656147088045,0.0013671093193079373,0.01069167996963574,0.025798058537316624,0.0312621102203482,0.09505097655222126,0.0011474309189175396,0.004640357354163046,0.02564815095374713,0.05098691817119127,0.0018483286101812766,0.015772191505343248,0.0028988777663132145,0.0026668399640859706,0.00017502507762501735
Sydney,0.007295553850023954,0.025041939520567588,0.0056159701848863906,0.0018854758673509445,0.0166524331331025,0.000536361203820462,0.0020088509612842544,0.020594427611666476,0.020286390445319998,0.0136297433317364,0.022268803886475685,0.019248517496030366,0.009539137944570935,0.05274405436195048,0.0013491146635304825,0.013459501724847904,0.005023529392914424,0.021496107275445313,0.007852344046671036,0.007784247403915637,0.0027222634362687524,0.03758293770519121,0.019882216842142367,0.005855910708477471,0.005647214526856514,0.014446502476314385,0.000400969055283258,0.027023551824749685,0.03892043588260459,0.04529828732937785,0.0018346036695277939,0.0034529003561854983,0.002670590101472009,0.006105865444238463,0.004650600131706918,0.01938751476094874,0.05332367696234496,0.00402891784019881,0.0022371749987582378,0.002213942026524043,0.02397081938687385,0.003399624747441569,0.015542457856189504,0.006656647113583598,0.008156776096636346,0.03719158229359106,0.024150274068958665,0.005653223054158461,0.0009289183208809943,0.0013927766285912967,0.0007895204874758257,0.01117546021313448,0.029287564912123285,0.025041138383593998,0.09558124890845088,0.0014560664495051378,0.00962686244317936,0.04207170816823236,0.06477873397926337,0.0017621007734176344,0.01000379738925483,0.006667863031213899,0.0025191752134629468,0.00019707969550385908
Vienna,0.008983228935138412,0.02503131945847646,0.016969084663568397,0.002874924227116589,0.011185289957567185,0.000817943018791675,0.004364518084461508,0.022783188522933925,0.020948070317235806,0.011058395635481916,0.040524954536269954,0.013984239240250556,0.011888462315619318,0.05483855324307941,0.0015166700343503738,0.01120913315821378,0.0063705799151343705,0.00905597090321277,0.00975429379672661,0.008634875732471207,0.0032547989492826834,0.042727015558698726,0.026344716104263487,0.006675692059001819,0.007192160032329763,0.010728632046878158,0.0003766417458072338,0.019834309961608405,0.06341725601131541,0.027944231157809658,0.007966457870276824,0.0032358052131743788,0.0015801171953930087,0.012689028086482118,0.006854718124873712,0.024582743988684583,0.07089068498686603,0.005102849060416245,0.0077975348555263686,0.0011505354617094361,0.031424126086077996,0.006788037987472216,0.020573045059608,0.013954334208931097,0.01584885835522328,0.02270842594463528,0.008282885431400282,0.002709234188724995,0.0011707415639523135,0.0017918771468983634,0.0014394827237825824,0.009123459284703981,0.023924833299656497,0.01782016569003839,0.07341240654677712,0.002482521721559911,0.007118205698120833,0.03121721559911093,0.03823883612851081,0.0009209941402303495,0.01109880783996767,0.0037781369973732067,0.010890684986866033,0.00014305920387957163
Dhaka,0.008519877705335441,0.020900846160770547,0.008458794670987488,0.0008101539292465569,0.016634678446047605,0.004984697092447565,0.0010548879287064542,0.039474910947365716,0.02566813587438756,0.005356821367488394,0.02604869925285804,0.018563616372825123,0.009781724599102402,0.04953753713205509,0.0016701387549348662,0.0068232160539073855,0.0033917158545837996,0.01135581831976647,0.006789459640188779,0.004905128402967992,0.01499749238069519,0.06453020716793334,0.04000255584275298,0.0033800618546095187,0.008073007085631984,0.0142387767961627,0.0003363585509818294,0.01626134858480254,0.03634681660944151,0.02783457428339956,0.008657314532618341,0.0073444311562053935,0.002094103236757841,0.020886379126319715,0.010106831012178028,0.027585821663258875,0.05471954849992927,0.009045915152450394,0.006991194398364261,0.003551656957679102,0.014586387485050731,0.0049517444028651155,0.03910961832748222,0.005484613505137404,0.012411509972609081,0.03243790427324049,0.018384385890462044,0.007752723017373301,0.0006855766881421755,0.0018288742718259327,0.0016002147550891813,0.00967482928899348,0.020891603333204736,0.04807355361804457,0.03618245502359734,0.0013136871005491044,0.0039796400601828635,0.02997971400280339,0.02487807504854494,0.0030111524761133185,0.024709292979951905,0.006810356467728869,0.003484947854378046,6.188675848411198e-05
SaoPaulo,0.011912478964359957,0.03148121241925028,0.009598957717964356,0.001037013146676289,0.01329915474247906,0.0007715729070536054,0.0018592791521240008,0.03533149294767195,0.012620585708857162,0.012614997493286158,0.03380511178027775,0.017146641163115223,0.009167068485976771,0.04069019252200959,0.0012904786386468215,0.008336819315427626,0.0034163955051587213,0.009662423880520759,0.009632886169645452,0.00829331106562481,0.0038087680698942073,0.04342362825274062,0.027812548896886245,0.004233472453290501,0.0032291902835300916,0.011969558594835212,0.00027980993680526504,0.023627773750714492,0.0430021171353849,0.038102449554379726,0.00845497015892885,0.004877713876976233,0.0020424927912019134,0.008835367976012186,0.005337145028563765,0.017571345546511515,0.050237259666814624,0.004293745349806329,0.003434357626636948,0.0012326006916614245,0.03110041544391188,0.007308986808617987,0.03305349678597773,0.008779884978557218,0.009220954850411453,0.02645541082964245,0.02571776637426994,0.006919408351668002,0.0017275569279503384,0.0018964008698456694,0.0013092390766351917,0.006062415578029052,0.031177452987140718,0.027648095695796703,0.08821157942131633,0.00153596096551592,0.005925105138284386,0.03948194048390754,0.04838915694583263,0.0026049067725979454,0.011114162454216548,0.004293346191551257,0.0019878081102570897,0.0003041585903646391
Toronto,0.008855238608167112,0.01746603448165317,0.0032819442574390737,0.0018761981701257318,0.016788006437259164,0.0002364282187898722,0.0008803945706463547,0.021482509120519085,0.023946972757057584,0.016952704738822957,0.030100518058307206,0.019682448851359582,0.015968522187385793,0.05331376188552707,0.001101595209242981,0.013181474286227214,0.005356100970077004,0.016864545064019954,0.009125728519494508,0.008052184115870664,0.001663813499009406,0.046006927747536334,0.021943744510056616,0.008215279514256222,0.004158732295934396,0.01420893522347676,0.00042557079382177,0.02899251123635128,0.0375820686427257,0.032309318637916994,0.0013592618951444857,0.006156751107606096,0.0015151442292279777,0.006053764578404406,0.005552456609410965,0.01574732154878917,0.080849634858656,0.0020701494546923388,0.001718312207069444,0.0012831239941782557,0.026711179287926292,0.005454679515538544,0.013667955400821968,0.007013102130578905,0.009737636807786262,0.031066267223194652,0.01206304859361275,0.005195409926458802,0.0011412670629043324,0.0008555495713836902,0.0009849840030262812,0.010896135079856636,0.029734254682080182,0.021984217815307083,0.08660686234908667,0.0009020337635525464,0.01646582289843364,0.04365867459141998,0.056409368648496154,0.0008150762661332205,0.009488786089365058,0.005222258554694262,0.0014101540710534921,0.00018914257503189778
HongKong,0.006200243348501092,0.040019094981459544,0.011005733316402878,0.0015876319812007658,0.014825533269147621,0.002206450824797116,0.0017740812951155102,0.03521681965690111,0.02823702529763579,0.008949165237489813,0.034426017394435134,0.027883816360284367,0.016898174564777473,0.052245990937920414,0.0010005577406200727,0.008415132612074522,0.00957401153735496,0.00946350817242704,0.006985821815534121,0.006637033012779814,0.0046419449878084655,0.039880061656859325,0.027070511594414877,0.005063465096206239,0.006599662783913282,0.013321080184456236,0.0009547490729772259,0.040436998616096044,0.04712305493986206,0.030307657441176045,0.0111692782964962,0.0034750294541696335,0.002305301107605364,0.01269422473250149,0.005464491853290107,0.01896719938664605,0.056507000689540995,0.0072590664997195225,0.011220712589989922,0.0010483755603525177,0.027272632294628493,0.00480066800288675,0.016074020377624152,0.012197562335952731,0.010359590004387988,0.023155879663041085,0.009322867526155142,0.0075656631085922596,0.0020417003534500358,0.0018556528699532108,0.002169080595930583,0.005001181381428684,0.020980369780423787,0.02752056166248495,0.05904415794828603,0.0009515344296338682,0.004284315915859925,0.01521129047035054,0.05103768687123585,0.001191025358714014,0.012641183117336089,0.006897820954009705,0.008144700740814559,0.0012171443358787951
Bogota,0.012715548239656082,0.017072059834113754,0.007180812810637175,0.0009740622952391606,0.008853259393028941,0.0009932398958017036,0.0014055583078963771,0.028966167516340915,0.006426493855177153,0.02103822735045467,0.03692926661659182,0.018740111549709938,0.013490243395713806,0.05275318428076007,0.0009149313601713199,0.006339795119300657,0.001860227254566666,0.00451832259920413,0.011823789813497835,0.013169018586291211,0.0036325571732216773,0.036379908267143976,0.03779945024211721,0.0043273456602688064,0.0029074041519505218,0.012777475908139293,0.00021614753967366118,0.024452239783932368,0.054401259329103606,0.03317924663992457,0.008159269972671919,0.0039385997155322585,0.0013048759049430266,0.018774870950729546,0.007011410672334713,0.019684208844070124,0.04278842312179375,0.0029129976187812633,0.004287791859108561,0.0007834848896488901,0.026678439582567562,0.008971920796509677,0.02765130327777156,0.007999057101305674,0.00790316909849296,0.026541000111869335,0.02339787128633756,0.007264714813098302,0.0014359228421204034,0.002499880139996484,0.001825068320202004,0.007012209739024819,0.025387946878046443,0.021559618365748805,0.09640300129448803,0.0011966023684336694,0.004685327537436275,0.03838876192607035,0.05643128825531779,0.001368002173461397,0.01409034247998338,0.0026057564764355233,0.002427165071196842,0.00039234174484202453
Paris,0.009283522478203693,0.02546393258974234,0.010557612066306236,0.001318737518873898,0.012129219229457894,0.0006969136103128602,0.0036777718247203417,0.028279187570016073,0.02475890117383469,0.013359066777068824,0.04017786112058189,0.014834072053642459,0.013373272936859708,0.048427175166009126,0.001891042813306707,0.010859188544152744,0.0065003328300293865,0.009474290909681295,0.011321903463055867,0.008251343496825938,0.00399842514571461,0.03949434188950043,0.029713603818615753,0.006408195736528502,0.007285324631045736,0.012457990356046953,0.0003101001737210397,0.024387105677593234,0.05983106846557239,0.031840874774730896,0.004642167129381585,0.0030689364051109704,0.001544412514409105,0.013592859578198821,0.008911321091682496,0.021500414008085333,0.057558082899030735,0.004981897293523615,0.007317389963145162,0.0026139334015229,0.03205721429383209,0.007645755199454483,0.02499959410972026,0.011133164482976961,0.016051742892861202,0.0209914275972919,0.008474583150682707,0.0027210884353741495,0.0014356339194388974,0.0026224570973974316,0.002786842660691962,0.011496436283343887,0.0271288945172341,0.015137272092607927,0.0737108924715471,0.0026804994074001915,0.0067877031480850095,0.035783287061841446,0.041038348513629794,0.0012639423311090546,0.009552627733671035,0.004651502605815596,0.003632718003669248,0.0001225788644813534
Mumbai,0.00817578016752036,0.023777789696693395,0.012697667766186633,0.0006793781901722582,0.018134928084242895,0.0027993063191110875,0.0027403076868066545,0.030980986349861888,0.022533454906272628,0.0028882512269033764,0.03662831755566878,0.026646374712828626,0.009788856409843833,0.04721097374560863,0.001672521833963546,0.009084001537540114,0.0058569551342218884,0.011737152153897038,0.006324921558636595,0.004188008974943459,0.003876478318002628,0.056349057362761135,0.04104248795444591,0.007386003021445109,0.007826257967050158,0.020885515835769263,0.0003454995664494444,0.01612450499253578,0.04222424843787712,0.02836984991105509,0.009091152886910349,0.00866207192469629,0.0015165330258253105,0.02284051596985706,0.003338786237228137,0.02457024859878248,0.05803007142410183,0.013684553979278966,0.005642861612450499,0.0016206745510293473,0.017247266843662564,0.008044374122842304,0.029524792834347932,0.004879455067177988,0.010153128268390143,0.03305308982988728,0.014709431735900667,0.004681005122153987,0.0007513386432102408,0.002164177103167154,0.006756237317528851,0.007509363798081651,0.018804473169031083,0.020193175824863453,0.06520510963912503,0.0012751749845799029,0.0042407501765489375,0.02378225929004979,0.041104168342764175,0.0013158482841231106,0.014766195571526903,0.006398222889681497,0.00531613433809792,0.00015151921478183915
