environment_id,n_grid_cells,dominant_element,mean_assignment_confidence,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
E01,351,F028,0.296471349272168,0.014114233940382874,0.016255777868204615,0.008164856919051914,0.0020774760343009345,0.017052926458388486,0.001143575211411063,0.003421049985413357,0.028862166461235794,0.02946893999780529,0.006816985924214764,0.028348930111463874,0.012487534300783323,0.016119902347014728,0.061444778092932854,0.0015490089500258116,0.01287423475707784,0.007104510284921321,0.009952770701472368,0.004794810275894798,0.007657267473044252,0.007498850814100866,0.03414133040515248,0.02482785642818167,0.0060619463559237535,0.013990684752667175,0.013369031956596437,0.0006134078264602267,0.025905022854702718,0.06154985185570544,0.029861090054216513,0.0029192994234612216,0.003836288266961042,0.002890210946240985,0.04640799957360966,0.01821251078548743,0.0252543465106375,0.05383031717132423,0.0046631365167583245,0.008697454860521392,0.0009790287292582417,0.02543464597877668,0.007577583089534321,0.025104389649183448,0.010664023338186139,0.015886012071552477,0.017159249256029376,0.0069186454860219754,0.0013686914200715047,0.0006885065966091663,0.002957644557554632,0.001561837530328416,0.01007354653310953,0.025881490002608035,0.014961243683809852,0.03298850567347567,0.0014824065416728825,0.007001120361416526,0.05689588320805547,0.031491521061973816,0.0015320032114427159,0.014809581462010349,0.008189356879449152,0.003984128518137231,0.00016658170598301425
E02,559,F028,0.1582344108735335,0.008657176344523197,0.01621857138050203,0.01683248026878881,0.0024596398156623146,0.013995218528129244,0.0022879578808201284,0.0046964456546017145,0.01673520974594741,0.014223903292192773,0.0069538172806638925,0.05602855038829918,0.013623777988685047,0.010864064445641218,0.05015626102958992,0.0010804913139532387,0.009041174522996808,0.004417989065478337,0.004530265614324598,0.005957844559575191,0.013404515896456698,0.0031894635192148252,0.045107759935732294,0.03176987717232418,0.006134749044394177,0.00562214802269367,0.014177530958798899,0.00033409682907106677,0.025937771790170438,0.07345131766794959,0.03008251690853042,0.012160606338855153,0.003639287485624859,0.0018925332630731573,0.01773787344584602,0.005906441496787069,0.030458091781742892,0.06445742813629513,0.004308409444169947,0.010058176803338547,0.0009069488277875327,0.03224970691570686,0.01258881824951225,0.021642792206564666,0.013804160308717249,0.01197834436882141,0.03128980118638727,0.008105958891171274,0.005274972139832572,0.0009341667409047075,0.002680128609141466,0.0019915767049864938,0.006394433513212329,0.020042935698998728,0.01915187917897734,0.0647449188479315,0.0017881080677520948,0.0053079281739940925,0.014974265264969385,0.028373275254348244,0.0015579403405732728,0.017867102310895413,0.00284025242075212,0.014664421345195067,0.0002537293714225258
E03,881,F036,0.14895240530740725,0.007686426085865863,0.025323485774787224,0.008412282553506057,0.0010383706510136328,0.016622155504569303,0.0011972615901417506,0.0017565277986862108,0.0410098014676617,0.01988323130862282,0.007735082886548379,0.021902016229572396,0.019022064626435284,0.013934751000262147,0.06034255550799146,0.001537671851337217,0.00728511729199956,0.006346870822851998,0.017552543666153577,0.009422016488460066,0.005788591302353748,0.007275387453832873,0.04572025957469391,0.02576824221248834,0.004251163690905554,0.007148689244118142,0.012745382195298518,0.00048350937597121555,0.035667185255825976,0.03475017717545443,0.04027911242562725,0.0028945724609048713,0.004771061354159579,0.001916293651622721,0.00829355405400364,0.005613196074487262,0.015795234051171003,0.0653651943118778,0.004624966011637869,0.007708363263054554,0.0021538542204294934,0.026029830957482826,0.0033329248024407654,0.024437546858172624,0.006763584081749113,0.010913293449842036,0.020247296893218095,0.012049707613009268,0.006328852169664669,0.001815146244352648,0.0013324748565442615,0.0009999831021282708,0.006369355625183906,0.02901083999884201,0.03444860850349394,0.0536139303447116,0.0007379824359033534,0.003993172366524338,0.05551392702904264,0.04906012167675622,0.001904442969210442,0.011275237378414908,0.01009088877043904,0.002481684237921126,0.00022494516856645305
E04,532,F036,0.1954690418390459,0.008784067927559399,0.018462526906482327,0.013434176923930913,0.0009697233702937691,0.017899880696006516,0.0029101265009730468,0.0024654246807556653,0.02550888672985529,0.017747289417633077,0.00343903742650592,0.045871870855448284,0.02031267113277226,0.009098827459717627,0.045296386273089684,0.001297317586464087,0.008387572378093901,0.004544321955062709,0.00909550490562213,0.006210562022971763,0.0054275526931190305,0.0042780146716057356,0.05942105695601276,0.04586715778906255,0.00670878488097623,0.00670154164033852,0.02104266992861035,0.0003496675755140167,0.015649409501583004,0.04743462506664519,0.028808376296521804,0.011476595726824641,0.008656263109347731,0.0016239518403727159,0.025612876293711444,0.004968426636992355,0.029586845205717815,0.06011890448016689,0.011653497436236162,0.004786982054779444,0.0015814253783951527,0.016681146425182366,0.009361530154790545,0.03292251999872227,0.005414163379208389,0.010792842731434563,0.03875847862276409,0.015508552635242041,0.004969750879520051,0.0007068795219523544,0.002604468697646208,0.005638716347726546,0.007232862179937959,0.018383756507400935,0.019915399449600885,0.05902350118924133,0.001466112864293413,0.004749797418442138,0.018644464909062426,0.03212995114779497,0.001824121215126998,0.018375101168167898,0.005421318963939716,0.00577566633615664,0.00020809694487343447
E05,979,F054,0.191632417672906,0.01224731819882055,0.021019945986490055,0.007005987054203853,0.0008255720866023401,0.009395332352028869,0.0007884211642512012,0.0017458594919713296,0.03214142096505922,0.00970431096482139,0.019790434010169954,0.03642897904709969,0.020797315294276808,0.012898339260050254,0.04475721870660065,0.0009348137963090946,0.006357333990521505,0.0025012301146220884,0.004999281961540275,0.010429756813802227,0.00966990797932139,0.0032870154853032506,0.03737008595814376,0.040703679259410035,0.004302964252050467,0.0034562946805238776,0.013324852143421374,0.0001680314930398343,0.024208916258176782,0.049869179279821096,0.033693473205917694,0.009235760160946658,0.005039424737804732,0.0015509471630764105,0.020327488261573223,0.005616183600249201,0.020924395156024816,0.04118823779055424,0.003393155513052409,0.0035336198743208267,0.0012388827829417613,0.02484707821797708,0.008648090362733432,0.024333806990952483,0.010872146864522154,0.00978683668009707,0.023005831682571646,0.024146094491217303,0.006960607130249169,0.0012954329907713762,0.00185480167550574,0.0015922646772331705,0.006160574218711433,0.025830120190060722,0.02922439351474559,0.09996014590803567,0.001537933663470713,0.005104298567710694,0.032614509373506594,0.055155370970148235,0.0015227864705256756,0.012727219215114048,0.0032742946685505136,0.002308534029980089,0.0003654611506941309
E06,908,F054,0.15822148886115805,0.006953338939083372,0.038187056090092354,0.004613328602447418,0.001412537021175981,0.014083520429356707,0.0003739291619458267,0.0009991247030850105,0.02851768964499247,0.021451589978067242,0.0158786722411413,0.026526171386911303,0.019269439587231877,0.01077284270460766,0.04621763698732238,0.0010775716777486042,0.008077268639950603,0.007081476293790957,0.020039331149906917,0.013695161311013547,0.006694190627400688,0.003048572284940139,0.03745330862908741,0.02588822685666543,0.007350261017160557,0.007168759241198634,0.014281033468953219,0.0003950035692721366,0.028826030421784225,0.03341213908663047,0.04067392554403902,0.0028488941482738167,0.0036935089629712343,0.002702987874551242,0.007999324045434887,0.006228379223700169,0.01915430216866694,0.044607813745530335,0.003738772372532719,0.0031428479196085406,0.002140382094921254,0.02002996736612927,0.002789297105066701,0.01710637715490261,0.008751778820675148,0.010420005249957488,0.0296727845268425,0.014447191771244455,0.0030167381102846696,0.0010763026040364948,0.0016386893572722862,0.001915373967420017,0.010146395160079468,0.03894580011924889,0.02394054294260457,0.09774909790953086,0.0012273520277366842,0.005334823076230471,0.04015022072214603,0.06660068788547079,0.001897839302042074,0.010193228613986229,0.004266817080744165,0.001808805338359985,0.00019753393479368203
E07,508,F054,0.1311827107803146,0.009638606984199697,0.02498487169341645,0.009557583784752485,0.0013590676558289732,0.012844842169375308,0.0007119002365320388,0.003775587324057067,0.02665068655536973,0.021464738458533153,0.011695300065951264,0.04222710236504152,0.013995705948877094,0.013278277594880821,0.0513819308256136,0.0016257587359948995,0.011662909628465902,0.006521717193359821,0.009118785010093377,0.01050121914199569,0.00854554072489549,0.003340348459421404,0.0394686823740836,0.030889681476420277,0.006751093794396869,0.006628334388476852,0.011377857849779915,0.00038779025211343684,0.022274180417344972,0.057974638940282076,0.03201111178417315,0.0055020771718235495,0.0033694297305175216,0.0018084080721801844,0.012093899652481832,0.007991053922536531,0.023871141631184305,0.06355132368995588,0.004471418681516295,0.006325204444933714,0.0018719163780406606,0.030648936599759913,0.0064433472307117426,0.021700195082359503,0.012493039165712705,0.015295313436980658,0.018581848936635198,0.010055314371799035,0.002148874842022672,0.0013882224549970207,0.0018136878302594476,0.001459816508714364,0.010746622763406268,0.026370289969947103,0.01882429203590597,0.07833777554001263,0.0020736051867854544,0.009108305423241887,0.03666287655678428,0.03994228388718853,0.001364380137279643,0.0123145875451655,0.004595207912090894,0.00390438079799024,0.00022507057535193245
E08,466,F054,0.1427018304570576,0.00910858044474796,0.01886769113813107,0.012113669050624614,0.0010395646514002649,0.015281817888997124,0.0015521136162155282,0.0023346688938254167,0.037893014378325623,0.01204254553888206,0.006370154139667828,0.03941810379359396,0.012788370317912778,0.007597287341867067,0.04514448696756082,0.0014406612427865417,0.006825345406090666,0.002646306597478674,0.010512531565830615,0.010880160182164854,0.007330157163655047,0.005714074950449871,0.04945882096583072,0.03756620812555632,0.00426957670521441,0.004266561045384678,0.014950867715278468,0.00034563569306477485,0.02832805360057448,0.04106989264806163,0.03528238622807448,0.006295218275951836,0.007160118083391798,0.001972353859871572,0.014252192324905018,0.008872117885146621,0.025239644169926793,0.046529336811679686,0.006596845872719011,0.005406558145224533,0.0022261826701835594,0.024488828306792665,0.006877978233077926,0.03261818092071744,0.007611820453526477,0.00966133913772432,0.030913964472946316,0.018303045115005478,0.01002423024166084,0.0011131546656909363,0.0018545598435327465,0.0013324787103934064,0.008693373729240634,0.03301014252478912,0.03385450206725299,0.06557886660637792,0.0011672235766671578,0.00519570454747553,0.03798769384816008,0.028661247696067045,0.0031757246080417055,0.023561825264861835,0.005219599087927405,0.0018714990797321673,0.00023314116608906
E09,633,F054,0.12222936019106427,0.00619198984336655,0.03463450033194465,0.00966585282337993,0.001275678753552753,0.01512166421684081,0.0018972862278390634,0.001749653934907336,0.03493020628925642,0.025950519177511837,0.008848693239269335,0.03110974998381031,0.027022713348860906,0.01468677075754841,0.05225505112644354,0.001537198442953225,0.008509933201794934,0.007952161251597416,0.01327650360449734,0.008559853103495116,0.006559587364147458,0.005114387102553354,0.04326519583695006,0.030272100884819346,0.0047329525693656435,0.007225650682102377,0.013584625011965102,0.0005865404276888926,0.03553908144440593,0.042929825844822356,0.03192887279787516,0.0071281766628937095,0.003998000783973158,0.002161468817268293,0.00986652007838887,0.004804807828853115,0.018063884918319312,0.06217576293163817,0.007538069003107936,0.009213858102678076,0.0014573876433282456,0.024295260031426614,0.004876042268587838,0.018400249278386478,0.010713750457730776,0.010926996422230441,0.02637692487833724,0.011110013180530991,0.00821921373726732,0.0015124830003784514,0.0020985367629334146,0.0025425661864800025,0.00567025483268723,0.024865226532032825,0.026698325113058752,0.0642970718495648,0.001084189505072735,0.004684355506464837,0.02308596260615512,0.04911745565920469,0.001741778532267431,0.012198066332623091,0.00653232561926077,0.005167122633288775,0.00046309267801489636
E10,608,F057,0.2627456684262178,0.007290869542816406,0.04427332007778047,0.005269648260795618,0.0006634961535319262,0.004874414661934229,0.00033272880880541556,0.0018316509265611802,0.053841649154250666,0.009320350637855643,0.014537123731627207,0.022404828110713287,0.022744369207281727,0.010632582808328904,0.033951775201203585,0.0011328906535481508,0.004985486362888891,0.0035396272620287685,0.010402982282273484,0.014492858885658185,0.01228890892226472,0.0051451545676130745,0.0319622901609309,0.038661998755314196,0.006401507443285258,0.01453127030165561,0.01935103704195947,0.00018852123424439908,0.017708774435345808,0.02584407275883346,0.02664603685657929,0.006022472790068522,0.007523715394985518,0.0017593464867469407,0.037740879369583556,0.006607131400860604,0.030909851411219668,0.04011270604252632,0.005513587434637509,0.0034432212022023657,0.0013999609227199805,0.021209077238932332,0.006817016998145537,0.022714161954602585,0.009362868237642907,0.016656482948884874,0.01358336281570073,0.020181634032951864,0.0036686894569596027,0.0007597008284478016,0.0035177410566807604,0.004566313647697006,0.00451034644330247,0.025851213912724578,0.029460799281407556,0.05503272169973687,0.0010215712588282923,0.004841805176375913,0.06613061751824564,0.05725188509898879,0.0020913838172502254,0.01415477559486542,0.008523863729580637,0.0017349284843385245,7.194110424814725e-05
