city,relationship,rank,other_city,cosine_similarity,jensen_shannon_distance
LosAngeles,most_similar,1,Sydney,0.9795233750774195,0.10426691530232068
LosAngeles,most_similar,2,Toronto,0.9785503146345259,0.10632839293243229
LosAngeles,most_similar,3,CapeTown,0.9728847323506952,0.12586173481745278
LosAngeles,most_similar,4,NewYorkCity,0.9668262612827885,0.11633692145495356
LosAngeles,most_similar,5,Johannesburg,0.9612188306906906,0.1495616274485916
LosAngeles,most_different,1,Dhaka,0.8343898617841806,0.26739121948165795
LosAngeles,most_different,2,Amsterdam,0.8551291916501514,0.24639550566862167
LosAngeles,most_different,3,Lagos,0.8626188466298662,0.25708686434562805
LosAngeles,most_different,4,Jakarta,0.8641750622993107,0.24810969797794905
LosAngeles,most_different,5,Osaka,0.9040142585488056,0.2099265977585378
NewYorkCity,most_similar,1,Toronto,0.987506082264707,0.08297110352275534
NewYorkCity,most_similar,2,Vienna,0.9688779773775131,0.15187794288905349
NewYorkCity,most_similar,3,Taipei,0.9669602337318146,0.15228082265824996
NewYorkCity,most_similar,4,LosAngeles,0.9668262612827885,0.11633692145495356
NewYorkCity,most_similar,5,Seoul,0.9654702332206839,0.1522066426787291
NewYorkCity,most_different,1,Lagos,0.8580446427478406,0.254946960975291
NewYorkCity,most_different,2,Dhaka,0.8941826306873196,0.2280030911589659
NewYorkCity,most_different,3,Amsterdam,0.9035598923869554,0.21386166130539078
NewYorkCity,most_different,4,Jakarta,0.9048069824488516,0.2131041533261095
NewYorkCity,most_different,5,Lima,0.9108206219681002,0.20533978118430568
