sample_fraction,images,prevalence_correlation_with_full,city_similarity_correlation_with_full,cooccurrence_ppmi_correlation_with_full
0.25,94705,0.9997992127694456,0.9987236200041207,0.7875044326941311
0.5,189409,0.9999328750031977,0.9994084590500091,0.9580448375999502
0.75,284113,0.9999758325200013,0.999730928386028,0.9642956715416017
1.0,378818,1.0,0.9999999999999999,1.0
