city,minimum_panoramas,n_valid_grids,n_adjacent_grid_pairs,mean_pairwise_similarity,median_pairwise_similarity,visual_homogeneity,visual_heterogeneity,local_visual_continuity
Dhaka,10,121,122,0.8813126603331807,0.9102025620655552,0.8813126603331807,0.11868733966681932,0.9288897501176583
Vienna,10,481,710,0.8987976472733927,0.9107271220135245,0.8987976472733927,0.10120235272660727,0.9414916265388832
Manila,10,267,213,0.9095723344327755,0.9169713858377397,0.9095723344327755,0.09042766556722448,0.9335907603334292
MexicoCity,10,155,56,0.9189960640131483,0.9270803683054757,0.9189960640131483,0.08100393598685174,0.9433027782484485
Singapore,10,327,554,0.9376001280227987,0.9451726556333088,0.9376001280227987,0.062399871977201316,0.958000250261424
HongKong,10,183,274,0.9138699721417688,0.9289279372214957,0.9138699721417688,0.0861300278582312,0.9425893415575004
