city,mds_1,mds_2
BuenosAires,-0.03019655952557272,-0.08299833364129337
Sydney,-0.1204959669152764,0.019562413766075978
Vienna,-0.0428187541175492,0.0350432710681387
Dhaka,0.14393201676280787,0.09230529530097481
SaoPaulo,-0.023352103023531825,-0.028805127715744238
Toronto,-0.14245333400969046,0.01952046875026798
HongKong,0.0889348941841845,-0.032209279623831494
Bogota,-0.035696427352452674,-0.11656761802678406
Paris,-0.027698458631405413,0.017000015691578087
Mumbai,0.127098397597926,0.01792601851930949
NewDelhi,0.13898857077363683,-0.00989498174598409
Jakarta,0.09385956743002183,0.1023740725697333
Osaka,0.029049533052361878,-0.1584648219298157
KualaLumpur,-0.005681028926071453,0.10131710671388354
MexicoCity,-0.014358141639743752,-0.05093891780022275
Amsterdam,-0.011740093062958269,0.1674451821023751
Lagos,0.14946257416514713,-0.1121520306666095
Lima,0.02934148302761786,-0.1195080585538514
Manila,0.05016289532054872,0.04488216254342202
Moscow,-0.04379736632109941,0.07415360494175234
Singapore,0.0077729741437386245,0.12404368660969066
CapeTown,-0.11737880701372816,-0.03669571667279708
Johannesburg,-0.11308110508522594,-0.00517037153114328
Seoul,0.050988356305082624,-0.032576513145409436
Taipei,0.04227333591574831,0.014869167479023174
Bangkok,0.05353294136748198,0.060402425113064796
Istanbul,0.044252371610580266,-0.06783639173482854
London,-0.0862910028655874,0.10553892826701712
LosAngeles,-0.13767650795792616,-0.07332423978620717
NewYorkCity,-0.09693425520906546,-0.06924141686178481
