dimension_id,available_top1_count,available_top3_count,umap_fit_top1_count,umap_fit_top3_count,high_response_candidate_pool,selected_high_response_representatives,representative_city_count,target_count,quota_satisfied
D155,539,1812,90,267,2000,363,27,100,True
D156,681,2094,90,325,2000,354,29,100,True
D157,560,1850,104,281,2000,334,27,100,True
D158,384,1349,69,205,2000,324,27,100,True
D159,318,1300,64,226,2000,364,30,100,True
D160,908,2583,122,444,2000,416,30,100,True
D161,698,2222,121,355,2000,347,29,100,True
D162,869,2461,123,374,2000,342,29,100,True
D163,381,1331,68,226,2000,384,30,100,True
D164,109,596,24,98,2000,322,28,100,True
D165,262,1045,61,175,2000,335,29,100,True
D166,108,508,44,124,2000,385,26,100,True
D167,1696,4424,237,634,2000,331,30,100,True
D168,1042,2826,191,481,2000,393,25,100,True
D169,1038,3090,199,525,2000,408,25,100,True
D170,401,1364,56,198,2000,333,28,100,True
D171,528,1842,76,270,2000,323,26,100,True
D172,844,2721,119,384,2000,319,29,100,True
D173,1022,2848,122,402,2000,316,27,100,True
D174,186,886,15,117,2000,327,23,100,True
D175,162,809,17,120,2000,343,28,100,True
D176,1080,3067,136,474,2000,316,28,100,True
D177,479,1643,52,239,2000,319,25,100,True
D178,340,1445,30,211,2000,342,29,100,True
D179,545,1950,131,334,2000,376,27,100,True
D180,156,698,20,99,2000,346,29,100,True
D181,105,550,9,85,2000,339,28,100,True
D182,661,2183,89,330,2000,359,29,100,True
D183,413,1788,53,248,2000,304,29,100,True
D184,498,1871,61,265,2000,332,29,100,True
D185,1171,3184,228,553,2000,383,27,100,True
D186,775,2167,103,329,2000,324,28,100,True
D187,672,2191,97,314,2000,334,29,100,True
D188,417,1571,58,232,2000,364,30,100,True
D189,597,1846,71,257,2000,342,29,100,True
D190,1217,3294,166,497,2000,328,28,100,True
D191,1716,4418,260,651,2000,355,27,100,True
D192,383,1457,58,210,2000,328,28,100,True
D193,604,2068,89,346,2000,372,30,100,True
D194,587,1853,68,275,2000,375,27,100,True
D195,867,2491,123,379,2000,352,28,100,True
D196,413,1458,70,224,2000,351,26,100,True
D197,180,800,41,138,2000,309,27,100,True
D198,898,2602,116,385,2000,330,28,100,True
D199,412,1670,47,238,2000,363,30,100,True
D200,612,2027,61,273,2000,322,30,100,True
D201,673,2142,157,377,2000,367,21,100,True
D202,469,1550,85,230,2000,328,27,100,True
D203,710,2009,125,303,2000,327,26,100,True
D204,1074,2866,139,419,2000,349,30,100,True
D205,633,1952,96,307,2000,351,28,100,True
D206,1085,2963,125,404,2000,339,21,100,True
