city,grid_id,longitude,latitude,number_of_panoramas,environment_id,assignment_confidence,low_confidence
BuenosAires,BuenosAires_-6536_-4093,-58.709395393631326,-34.47305491570979,10,E09,0.025688736638939873,True
BuenosAires,BuenosAires_-6529_-4115,-58.64651332374296,-34.63581991471934,13,E07,0.12604769608057068,False
BuenosAires,BuenosAires_-6529_-4091,-58.64651332374296,-34.45824231432171,10,E06,0.032138777715679086,True
BuenosAires,BuenosAires_-6526_-4124,-58.61956386521938,-34.702313756340594,11,E05,0.07502606802179315,True
BuenosAires,BuenosAires_-6523_-4126,-58.59261440669578,-34.717082915958315,10,E05,0.18597109906587872,False
BuenosAires,BuenosAires_-6523_-4118,-58.59261440669578,-34.6579904585732,11,E05,0.0713229429174883,True
BuenosAires,BuenosAires_-6522_-4129,-58.58363125385458,-34.73923171021841,11,E06,0.0320895142800338,True
BuenosAires,BuenosAires_-6521_-4121,-58.5746481010134,-34.680155073023705,10,E05,0.04711155436073069,True
BuenosAires,BuenosAires_-6521_-4091,-58.5746481010134,-34.45824231432171,11,E06,0.04682837254079493,True
BuenosAires,BuenosAires_-6520_-4114,-58.565664948172206,-34.62842841608915,11,E06,0.06704816240692724,True
BuenosAires,BuenosAires_-6516_-4117,-58.52973233680743,-34.65060093602562,10,E05,0.052809454028802945,True
BuenosAires,BuenosAires_-6516_-4115,-58.52973233680743,-34.63581991471934,10,E06,0.0016404636023684928,True
BuenosAires,BuenosAires_-6505_-4129,-58.43091765555427,-34.73923171021841,10,E06,0.13843277524579978,False
BuenosAires,BuenosAires_-6501_-4122,-58.39498504418949,-34.68754195989617,12,E05,0.22921098295183834,False
BuenosAires,BuenosAires_-6498_-4133,-58.36803558566592,-34.76875420224726,11,E05,0.06870336113238527,True
BuenosAires,BuenosAires_-6495_-4136,-58.34108612714232,-34.79088914380745,10,E05,0.02826411904911772,True
BuenosAires,BuenosAires_-6495_-4133,-58.34108612714232,-34.76875420224726,10,E05,0.0639273914032612,True
BuenosAires,BuenosAires_-6495_-4121,-58.34108612714232,-34.680155073023705,11,E07,0.02317166422232178,True
BuenosAires,BuenosAires_-6490_-4138,-58.29617036293634,-34.805642471772586,11,E06,0.07478926854414863,True
BuenosAires,BuenosAires_-6484_-4131,-58.24227144588917,-34.75399427553779,10,E05,0.10318290108331821,False
BuenosAires,BuenosAires_-6483_-4129,-58.23328829304798,-34.73923171021841,10,E05,0.07155153629538252,True
BuenosAires,BuenosAires_-6478_-4133,-58.188372528842,-34.76875420224726,12,E06,0.05618416290754447,True
Sydney,Sydney_16783_-3995,150.76874571019988,-33.74415640991764,11,E06,0.20102862975327038,False
Sydney,Sydney_16784_-3997,150.7777288630411,-33.75909456387438,11,E06,0.16877276994579873,False
Sydney,Sydney_16790_-3997,150.83162778008827,-33.75909456387438,10,E06,0.2033988082683493,False
Sydney,Sydney_16791_-4022,150.84061093292942,-33.9456016979895,10,E06,0.13795058180154698,False
Sydney,Sydney_16791_-4000,150.84061093292942,-33.781496914422725,10,E06,0.25479864234422206,False
Sydney,Sydney_16791_-3996,150.84061093292942,-33.75162581220832,10,E06,0.23206650762016248,False
Sydney,Sydney_16791_-3994,150.84061093292942,-33.7366863570726,10,E06,0.2606523591752058,False
Sydney,Sydney_16792_-4021,150.84959408577063,-33.93814923463222,10,E06,0.1291518790935277,False
Sydney,Sydney_16792_-4019,150.84959408577063,-33.923242350891,13,E06,0.22565646961784516,False
Sydney,Sydney_16792_-3994,150.84959408577063,-33.7366863570726,13,E06,0.2741408902203411,False
Sydney,Sydney_16793_-4019,150.85857723861184,-33.923242350891,12,E06,0.24120159396133842,False
Sydney,Sydney_16794_-4022,150.86756039145305,-33.9456016979895,11,E06,0.18362929497023583,False
Sydney,Sydney_16794_-4013,150.86756039145305,-33.87850604843009,11,E06,0.07836425460403258,True
Sydney,Sydney_16794_-3997,150.86756039145305,-33.75909456387438,11,E06,0.22041077194989925,False
Sydney,Sydney_16795_-3998,150.87654354429424,-33.766562664845566,11,E06,0.14134068354963852,False
Sydney,Sydney_16795_-3996,150.87654354429424,-33.75162581220832,10,E06,0.1657842465079677,False
Sydney,Sydney_16796_-4018,150.88552669713542,-33.915787930645166,10,E06,0.15953005502573236,False
Sydney,Sydney_16796_-3996,150.88552669713542,-33.75162581220832,11,E06,0.21179320112268774,False
Sydney,Sydney_16797_-4011,150.89450984997663,-33.86358873237728,11,E06,0.19824889930605497,False
Sydney,Sydney_16797_-3991,150.89450984997663,-33.714272295914874,10,E06,0.20762611797781463,False
Sydney,Sydney_16798_-3991,150.9034930028178,-33.714272295914874,13,E06,0.06135012497014504,True
Sydney,Sydney_16799_-4001,150.91247615565902,-33.788963062888485,15,E06,0.25168223607006507,False
Sydney,Sydney_16799_-3990,150.91247615565902,-33.70679964155619,10,E06,0.13422711583390623,False
Sydney,Sydney_16799_-3989,150.91247615565902,-33.699326336995306,11,E06,0.20893547565277693,False
Sydney,Sydney_16800_-4014,150.9214593085002,-33.885963728773746,10,E06,0.24335595456479156,False
Sydney,Sydney_16800_-4001,150.9214593085002,-33.788963062888485,10,E06,0.1897535997161571,False
Sydney,Sydney_16800_-3993,150.9214593085002,-33.72921565374352,13,E06,0.2713774290327904,False
Sydney,Sydney_16800_-3991,150.9214593085002,-33.714272295914874,12,E06,0.2459488799683364,False
Sydney,Sydney_16800_-3990,150.9214593085002,-33.70679964155619,10,E06,0.20566010684468392,False
Sydney,Sydney_16801_-4016,150.9304424613414,-33.900877133748665,11,E06,0.051613679791329935,True
Sydney,Sydney_16801_-4002,150.9304424613414,-33.79642856037898,13,E06,0.15857325791420138,False
Sydney,Sydney_16802_-4022,150.9394256141826,-33.9456016979895,10,E06,0.31203277095085163,False
Sydney,Sydney_16802_-4010,150.9394256141826,-33.856129096807,10,E06,0.18783152961365576,False
Sydney,Sydney_16802_-4001,150.9394256141826,-33.788963062888485,14,E06,0.16766688592780443,False
Sydney,Sydney_16802_-3991,150.9394256141826,-33.714272295914874,14,E06,0.23650095765591067,False
Sydney,Sydney_16802_-3988,150.9394256141826,-33.69185238230277,10,E06,0.13088877047400996,False
Sydney,Sydney_16803_-4023,150.94840876702378,-33.95305350891262,13,E06,0.1952875612923834,False
Sydney,Sydney_16803_-4022,150.94840876702378,-33.9456016979895,10,E06,0.16470786772563992,False
Sydney,Sydney_16803_-4004,150.94840876702378,-33.81135760215433,10,E06,0.2120812444117826,False
Sydney,Sydney_16804_-4022,150.957391919865,-33.9456016979895,10,E06,0.17705311635036589,False
Sydney,Sydney_16804_-4020,150.957391919865,-33.93069611890971,11,E06,0.15179117204475942,False
Sydney,Sydney_16804_-4012,150.957391919865,-33.8710477162748,10,E06,0.09881358455265253,True
Sydney,Sydney_16804_-4000,150.957391919865,-33.781496914422725,10,E06,0.12077685448195426,False
Sydney,Sydney_16804_-3997,150.957391919865,-33.75909456387438,10,E06,0.19297375542356704,False
Sydney,Sydney_16804_-3990,150.957391919865,-33.70679964155619,10,E06,0.12274992194446155,False
Sydney,Sydney_16805_-4007,150.96637507270617,-33.83374628075514,11,E06,0.22314281816622009,False
Sydney,Sydney_16805_-3999,150.96637507270617,-33.77403011505173,13,E06,0.14131424726873368,False
Sydney,Sydney_16805_-3998,150.96637507270617,-33.766562664845566,16,E06,0.19138167846831333,False
Sydney,Sydney_16805_-3995,150.96637507270617,-33.74415640991764,14,E06,0.08227228690680836,True
Sydney,Sydney_16805_-3994,150.96637507270617,-33.7366863570726,10,E06,0.16348828199439358,False
Sydney,Sydney_16806_-4013,150.97535822554738,-33.87850604843009,15,E06,0.27420327532768085,False
Sydney,Sydney_16806_-4009,150.97535822554738,-33.8486688096335,10,E06,0.218937986181138,False
Sydney,Sydney_16806_-4007,150.97535822554738,-33.83374628075514,11,E06,0.14584374080576168,False
Sydney,Sydney_16807_-4011,150.98434137838856,-33.86358873237728,10,E06,0.175712390560234,False
Sydney,Sydney_16807_-4000,150.98434137838856,-33.781496914422725,10,E06,0.1709644420665604,False
Sydney,Sydney_16807_-3994,150.98434137838856,-33.7366863570726,10,E06,0.2593462807311287,False
Sydney,Sydney_16808_-4010,150.99332453122975,-33.856129096807,10,E06,0.14202017968131841,False
Sydney,Sydney_16808_-4006,150.99332453122975,-33.82628403918959,11,E06,0.17029353608633424,False
Sydney,Sydney_16808_-4005,150.99332453122975,-33.81882114629939,10,E06,0.15392816933866096,False
Sydney,Sydney_16808_-3999,150.99332453122975,-33.77403011505173,11,E06,0.1562230007644586,False
Sydney,Sydney_16809_-4024,151.00230768407096,-33.960504667332614,15,E06,0.13478065977924322,False
Sydney,Sydney_16809_-4022,151.00230768407096,-33.9456016979895,10,E06,0.16647157780042432,False
Sydney,Sydney_16809_-3995,151.00230768407096,-33.74415640991764,15,E06,0.03917778864743735,True
Sydney,Sydney_16810_-4014,151.01129083691217,-33.885963728773746,11,E06,0.12554028630257325,False
Sydney,Sydney_16810_-4008,151.01129083691217,-33.84120787092633,10,E06,0.09692607930859629,True
Sydney,Sydney_16811_-4023,151.02027398975335,-33.95305350891262,12,E06,0.24198053908279366,False
Sydney,Sydney_16811_-4021,151.02027398975335,-33.93814923463222,10,E06,0.17520898790347247,False
Sydney,Sydney_16811_-4017,151.02027398975335,-33.90833285824133,10,E06,0.18197782655396275,False
Sydney,Sydney_16811_-4010,151.02027398975335,-33.856129096807,10,E06,0.17792328696374213,False
Sydney,Sydney_16811_-4007,151.02027398975335,-33.83374628075514,10,E06,0.18026211540491358,False
Sydney,Sydney_16811_-4006,151.02027398975335,-33.82628403918959,11,E06,0.23388485115954996,False
Sydney,Sydney_16811_-4003,151.02027398975335,-33.803893406824244,12,E06,0.17870359419752568,False
Sydney,Sydney_16812_-4025,151.02925714259456,-33.96795517318062,11,E06,0.1654396121053454,False
Sydney,Sydney_16812_-4023,151.02925714259456,-33.95305350891262,10,E06,0.2587648900830111,False
Sydney,Sydney_16812_-4018,151.02925714259456,-33.915787930645166,10,E06,0.07289948752704224,True
Sydney,Sydney_16813_-4017,151.03824029543574,-33.90833285824133,11,E06,0.19923026300844238,False
Sydney,Sydney_16813_-4003,151.03824029543574,-33.803893406824244,13,E06,0.0712973367856267,True
Sydney,Sydney_16814_-4010,151.04722344827695,-33.856129096807,10,E06,0.20259378384850207,False
Sydney,Sydney_16814_-3999,151.04722344827695,-33.77403011505173,13,E06,0.13722907376158264,False
Sydney,Sydney_16814_-3996,151.04722344827695,-33.75162581220832,13,E06,0.1562030356652047,False
Sydney,Sydney_16815_-4024,151.0562066011181,-33.960504667332614,11,E06,0.18639996170439443,False
Sydney,Sydney_16815_-4016,151.0562066011181,-33.900877133748665,11,E06,0.09817415287446668,True
Sydney,Sydney_16815_-4010,151.0562066011181,-33.856129096807,12,E06,0.23134510914114964,False
Sydney,Sydney_16815_-4004,151.0562066011181,-33.81135760215433,10,E06,0.10714739227275669,False
Sydney,Sydney_16815_-3997,151.0562066011181,-33.75909456387438,11,E06,0.11238693082934917,False
Sydney,Sydney_16816_-4033,151.06518975395932,-34.027535719125694,11,E06,0.07818892123329056,True
Sydney,Sydney_16816_-4031,151.06518975395932,-34.01264450040678,10,E06,0.15695656205905217,False
Sydney,Sydney_16816_-4023,151.06518975395932,-33.95305350891262,10,E06,0.10712881772076147,False
Sydney,Sydney_16816_-3994,151.06518975395932,-33.7366863570726,14,E06,0.11102853340681355,False
Sydney,Sydney_16817_-4031,151.07417290680053,-34.01264450040678,11,E06,0.13745115103754713,False
Sydney,Sydney_16817_-4025,151.07417290680053,-33.96795517318062,12,E06,0.1572763228312815,False
Sydney,Sydney_16817_-4022,151.07417290680053,-33.9456016979895,11,E06,0.19299845079506564,False
Sydney,Sydney_16817_-4020,151.07417290680053,-33.93069611890971,10,E06,0.20075339995513672,False
Sydney,Sydney_16817_-4019,151.07417290680053,-33.923242350891,15,E06,0.2135274926372972,False
Sydney,Sydney_16817_-4010,151.07417290680053,-33.856129096807,10,E06,0.22491876863599009,False
Sydney,Sydney_16817_-4003,151.07417290680053,-33.803893406824244,10,E06,0.13580410398443843,False
Sydney,Sydney_16818_-4011,151.0831560596417,-33.86358873237728,10,E06,0.07343460891309231,True
