element_id,held_out_r2,median_r2,p90_r2,maximum_r2,strong_r2_threshold,n_strongly_nuisance_sensitive,n_images,validation_images,predictors,city_centered
F000,0.00028793733604781657,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F001,0.0009017567242987079,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F002,0.0001582039162459914,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F003,0.00012587299999389234,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F004,0.0015849419159763567,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F005,5.155666914202772e-05,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F006,1.3476590048355774e-06,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F007,0.0011266992329933556,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F008,0.001485214987215877,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F009,0.0022396746988038174,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F010,0.001995718197643326,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F011,0.001004130134297565,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
