city,normalized_entropy
BuenosAires,0.8823490073622003
Sydney,0.8717488954456689
Vienna,0.8885652663951543
Dhaka,0.8984048615449659
SaoPaulo,0.8807315870287286
Toronto,0.8662195238187463
HongKong,0.8956621846243122
Bogota,0.8721968545133293
Paris,0.8927287273659582
Mumbai,0.8943050460731637
NewDelhi,0.8939096935784467
Jakarta,0.8967961066221485
Osaka,0.8892374156855936
KualaLumpur,0.882023994266885
MexicoCity,0.8763241091900709
Amsterdam,0.8981976032511596
Lagos,0.8880678357862134
Lima,0.8787422205397368
Manila,0.8918190211290763
Moscow,0.8676380824886243
Singapore,0.8769645589275219
CapeTown,0.87373375379312
Johannesburg,0.873820340759084
Seoul,0.8883384016642637
Taipei,0.8936092505595664
Bangkok,0.8915498536594257
Istanbul,0.8908011633538068
London,0.8901893851692632
LosAngeles,0.8578289598627122
NewYorkCity,0.8743115054405537
