unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_001315,Vienna,6,10,128.8,1,2.9087,0.0,0.01986,0.505,48.242785,16.361441,1|31|12|30|2,0.1050|0.0683|0.0668|0.0658|0.0514,
unit_001316,Vienna,8,8,130.1,31,2.7494,0.0,0.08813,0.522,48.224223,16.351046,31|1|30|18|28,0.1669|0.0420|0.0381|0.0349|0.0342,
unit_001317,Vienna,31,65,503.6,31,2.8321,0.0,0.04982,0.5125,48.225325,16.352908,31|30|10|11|17,0.1927|0.0454|0.0383|0.0345|0.0334,
unit_001318,Vienna,23,23,412.0,31,2.8717,0.0,0.0,0.5,48.218872,16.328339,31|12|5|10|8,0.1586|0.0753|0.0516|0.0495|0.0409,
unit_001319,Vienna,5,15,102.5,31,3.0509,0.0,0.11537,0.5288,48.187761,16.302084,31|5|18|7|8,0.0982|0.0900|0.0797|0.0728|0.0720,
unit_001320,Vienna,11,22,215.0,1,3.0578,0.0,0.11537,0.5288,48.18761,16.303165,1|7|31|30|5,0.1080|0.0819|0.0773|0.0757|0.0643,
unit_001322,Vienna,5,10,111.7,31,2.9627,0.0,0.0,0.5,48.225303,16.402221,31|18|5|12|11,0.1173|0.0909|0.0859|0.0610|0.0536,
unit_001323,Vienna,19,38,348.7,31,3.0038,0.0,0.0,0.5,48.222902,16.403239,31|5|18|11|8,0.1323|0.0844|0.0804|0.0516|0.0464,
unit_001324,Vienna,5,5,115.2,9,3.0233,0.0,0.24268,0.5604,48.224606,16.403874,9|26|5|11|28,0.1114|0.1063|0.0813|0.0726|0.0607,
unit_001325,Vienna,8,24,177.3,9,2.9974,0.0,0.0,0.5,48.228716,16.410345,9|26|18|5|1,0.1596|0.1199|0.0699|0.0639|0.0520,
unit_001326,Vienna,12,12,261.3,31,2.8551,0.0,0.0,0.5,48.213478,16.312475,31|1|30|10|8,0.1367|0.0707|0.0686|0.0570|0.0537,
unit_001327,Vienna,12,36,247.3,18,3.0447,0.0,0.0,0.5,48.202829,16.436479,18|5|31|1|12,0.0913|0.0823|0.0803|0.0705|0.0682,
unit_001328,Vienna,18,35,375.5,31,2.8972,0.0,0.0,0.5,48.194239,16.393177,31|8|18|5|10,0.1586|0.0720|0.0680|0.0631|0.0504,
unit_001329,Vienna,7,20,156.6,8,3.0484,0.0,0.0,0.5,48.191059,16.391575,8|31|5|18|12,0.1046|0.0974|0.0861|0.0684|0.0644,
unit_001330,Vienna,18,18,333.8,31,2.9534,0.0,0.0,0.5,48.192238,16.39279,31|8|1|12|28,0.1683|0.0481|0.0472|0.0443|0.0443,
