method,n_boundary,n_edges,tau,n_units,within_var,within_var_z,boundary_contrast
sae,962,72882,0.01407,2750,4e-06,-2648.11,0.240178
dino,1222,72882,0.05512,2873,2e-06,-2689.1,0.206757
pca,1134,72882,0.04188,2833,3e-06,-2614.271,0.212164
kmeans,80,72882,0.38034,2394,1.9e-05,-2643.057,0.378848
spatial,2948,72882,4e-05,3753,1.7e-05,-2369.297,0.006767
random,7288,72882,1.23163,4623,1.3e-05,-1890.509,0.001953
shuffled,7284,72882,0.86149,4740,1.5e-05,-1963.679,0.002241
