element_a,element_b,name_a,name_b,parent_a,parent_b,same_coarse_family,centroid_distance_raw,visual_distance,visual_similarity,cophenetic_distance_raw,cophenetic_distance_percentile,fused_mean_similarity,fused_distance_percentile,stability_a,stability_b,pair_stability,images,support_a,support_b,observed,expected,pearson_residual,adjusted_residual,log_lift,p_value_upper,q_value_bh,passes_support,significant_positive,unexpected_score,unexpected_score_adjusted,visual_bridge_index,unexpected_score_cophenetic,visual_bridge_index_cophenetic,unexpected_score_fused,visual_bridge_index_fused
F027,F029,car_top_heat,electric_bike_parking,C020,C022,False,0.06957906803803648,0.7429280397022332,0.2570719602977668,0.2774387001991272,0.45186104218362283,0.04002046585083008,0.21935483870967742,0.9444444179534912,0.39830395206809044,0.6133318385503258,378818,185347,225095,127365,110133.84518423094,51.922307307376194,114.0529841726672,0.14535996539234985,0.0,0.0,True,True,38.57453798468593,84.73315995358946,0.10799199414012293,23.46166789248934,0.06568250545396255,11.389409344843811,0.031885411763483196
F051,F060,zebra_crossing,street_corner_shop,C020,C031,False,0.06781521723880911,0.6213399503722085,0.37866004962779154,0.27199676632881165,0.16997518610421836,0.043046061197916666,0.1890818858560794,0.8715151250362396,0.3880471537510554,0.5815401651832038,378818,57068,99128,22462,14933.389395435275,61.607791452514356,77.79790938761529,0.4082141657486322,0.0,0.0,True,True,38.27938208364664,48.33894915796245,0.2536397694874876,10.471795817611001,0.069386278793502,11.648917391269464,0.07718590429291755
F011,F058,road_edge,shaded alley,C010,C031,False,0.07257766129986425,0.9101736972704715,0.08982630272952852,0.2774387001991272,0.45186104218362283,0.03856658935546875,0.24813895781637718,0.384821442887187,0.875,0.5802747302151703,378818,137840,269846,111295,98188.50381977625,41.826958367660055,97.77777695125137,0.1252945945021574,0.0,0.0,True,True,38.06979734307124,88.99476075860795,0.11403984432603309,18.899972999381877,0.05661574605171926,10.378897857980164,0.03109047009979092
F041,F062,concrete_wall,shaded alley,C011,C005,False,0.07275428745003147,0.9141439205955335,0.08585607940446649,0.26061704754829407,0.10198511166253102,0.0092926025390625,0.9292803970223326,0.511904776096344,0.5,0.505917372747934,378818,44241,20658,4456,2412.5848771705673,41.602104691220475,45.52592243749417,0.6134577436076437,0.0,0.0,True,True,38.030311087458124,41.61724522573908,0.560788666861181,4.242795292330426,0.06256355648206986,38.66002036442201,0.5700742555361354
F034,F060,red_door_street,street_corner_shop,C018,C031,False,0.07271677699324601,0.913151364764268,0.08684863523573205,0.2774387001991272,0.45186104218362283,0.017189449734157987,0.7945409429280397,0.8333333730697632,0.3880471537510554,0.5686586353388894,378818,48527,99128,17062,12698.405186659556,38.72307403859237,48.262856294488095,0.2953672889714023,0.0,0.0,True,True,35.360027906208416,44.07129309273354,0.2697150430309579,17.497448591631937,0.13346497102156912,30.767067759695475,0.23468140428943676
F002,F004,shaded patches,highlighted_buildings,C002,C004,False,0.07269738248361196,0.9116625310173697,0.08833746898263029,0.27199676632881165,0.16997518610421836,0.026312255859375,0.533498759305211,0.5684704088738987,0.7429166615009308,0.6498662464866642,378818,59003,106313,21525,16558.838120152686,38.59276915548049,49.52213082443489,0.2622880992791919,0.0,0.0,True,True,35.18358160725442,45.14747112877761,0.23911823244460323,6.5598131194799345,0.044582468487902344,20.589194462601256,0.13993037554597088
F008,F017,stone_wall_and_retaining_wall,building facade,C008,C011,False,0.0699976052347594,0.771712158808933,0.22828784119106704,0.26061704754829407,0.10198511166253102,0.020772647857666016,0.6893300248138958,0.44401784539222716,0.43739699572324753,0.4406949870625596,378818,131190,93953,40657,32537.244983078945,45.014511094277,64.20415725686335,0.22278252127483616,0.0,0.0,True,True,34.73824553429316,49.54712880120224,0.17192398043790086,4.590809940384081,0.022720500308674358,31.02985404960335,0.15357068091848508
F029,F058,electric_bike_parking,shaded alley,C022,C031,False,0.0734054572987159,0.9310173697270472,0.06898263027295282,0.2774387001991272,0.45186104218362283,0.03687477111816406,0.27890818858560795,0.39830395206809044,0.875,0.5903524015870344,378818,225095,269846,173014,160343.45086558716,31.642429729438774,92.61321728076904,0.07605420515441141,0.0,0.0,True,True,29.45965169847501,86.2245139547011,0.07080778603954135,14.297981274766254,0.0343659324035194,8.825332758285157,0.021212140593935096
F027,F058,car_top_heat,shaded alley,C020,C031,False,0.0746351482948661,0.9573200992555831,0.042679900744416854,0.27199676632881165,0.16997518610421836,0.03942044576009115,0.23225806451612904,0.9444444179534912,0.875,0.9090593301370955,378818,185347,269846,143040,132029.4879387991,30.302052585753124,79.05633595083087,0.08009872880568836,0.0,0.0,True,True,29.008763989041082,75.68221937923214,0.07668012301050761,5.150597027603198,0.013614796335458194,7.037896084432984,0.01860357572261149
F004,F008,highlighted_buildings,stone_wall_and_retaining_wall,C004,C008,False,0.07549851899922186,0.9667493796526054,0.033250620347394566,0.2803388833999634,0.7880893300248138,0.004315185546875,0.9751861042183623,0.7429166615009308,0.44401784539222716,0.5743415842037122,378818,106313,131190,42366,36817.686778347386,28.915634143920894,42.167285283622554,0.14036602658054825,0.0,0.0,True,True,27.95417137089722,40.76519688957654,0.13569876912104614,22.78810273972525,0.11062096784610949,28.198124611813675,0.13688299862569595
