method,n_boundary,n_edges,tau,n_units,within_var,within_var_z,boundary_contrast
sae,246,48656,0.02649,1270,5e-06,-2743.919,0.30308
dino,248,48656,0.1384,1268,4e-06,-2735.856,0.313604
pca,248,48656,0.13544,1271,5e-06,-2689.164,0.300592
kmeans,26,48656,0.3968,1176,1.5e-05,-2629.486,0.470727
spatial,1424,48656,3e-05,1834,1.5e-05,-2202.831,0.006521
random,4866,48656,1.23398,2270,1.1e-05,-1740.675,0.001716
shuffled,4854,48656,0.85385,2317,1.2e-05,-1907.979,0.003038
