raw_cluster_id,archetype_index,archetype_id,image_count,image_share
6,0,A01,63130,0.16664994799613533
1,1,A02,54961,0.14508550280081728
4,2,A03,49794,0.13144570743734457
3,3,A04,46644,0.12313036867308312
5,4,A05,46445,0.1226050504463885
2,5,A06,42898,0.1132417150188217
7,6,A07,39879,0.10527218875555015
0,7,A08,35067,0.09256951887185931
