unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_001883,Vienna,11,11,183.6,1,2.6074,0.0,0.0,0.5,48.214067,16.338611,1|4|27|6|26,0.1642|0.1097|0.0865|0.0745|0.0646,
unit_001884,Vienna,20,42,420.8,17,2.6245,0.0,0.0709,0.5177,48.215092,16.338918,17|4|26|1|27,0.1312|0.0988|0.0977|0.0961|0.0798,
unit_001885,Vienna,15,15,235.2,1,2.578,0.0,0.12025,0.53,48.210246,16.339319,1|6|29|28|10,0.1313|0.0928|0.0848|0.0606|0.0571,
unit_001886,Vienna,19,19,356.4,1,2.6659,0.0,0.1462,0.5365,48.214138,16.34143,1|27|6|26|17,0.1957|0.0901|0.0871|0.0863|0.0764,
unit_001888,Vienna,12,12,164.4,1,2.6327,0.0,0.0,0.5,48.214306,16.327558,1|26|27|4|9,0.1666|0.1214|0.0972|0.0822|0.0574,
unit_001890,Vienna,10,10,164.3,27,2.7436,0.0,0.0,0.5,48.221406,16.337346,27|1|4|31|6,0.1444|0.1359|0.0866|0.0683|0.0657,
unit_001891,Vienna,13,13,181.9,1,2.6479,0.0,0.0,0.5,48.221092,16.339158,1|6|27|28|14,0.1914|0.1188|0.0941|0.0696|0.0584,
unit_001892,Vienna,19,19,321.3,1,2.6932,0.0,0.0,0.5,48.213241,16.343922,1|6|27|26|17,0.1575|0.1253|0.1108|0.0976|0.0765,
unit_001893,Vienna,33,33,439.2,1,2.6215,0.0,0.0,0.5,48.212565,16.345487,1|17|6|29|31,0.1995|0.0985|0.0709|0.0628|0.0569,
unit_001894,Vienna,13,13,164.8,27,2.7475,0.0,0.0,0.5,48.21187,16.342204,27|26|28|6|24,0.1227|0.0943|0.0897|0.0773|0.0681,
unit_001895,Vienna,8,8,175.0,29,2.7776,0.0,0.0,0.5,48.221513,16.345079,29|9|31|17|24,0.1175|0.0943|0.0866|0.0810|0.0743,
unit_001896,Vienna,17,17,308.5,1,2.7682,0.0,0.0,0.5,48.224602,16.330487,1|27|6|4|17,0.1651|0.1040|0.0813|0.0782|0.0652,
unit_001897,Vienna,12,12,172.8,1,2.6019,0.0,0.17125,0.5427,48.223879,16.344704,1|26|4|27|17,0.1762|0.1131|0.0901|0.0830|0.0496,
unit_001898,Vienna,7,7,84.5,1,2.5708,0.0,0.05646,0.5141,48.219742,16.336036,1|6|28|27|2,0.1749|0.1285|0.0839|0.0785|0.0485,
unit_001899,Vienna,13,13,181.2,1,2.6849,0.0,0.0,0.5,48.220523,16.332572,1|27|6|26|4,0.1431|0.1220|0.0993|0.0914|0.0876,
unit_001900,Vienna,14,14,179.1,1,2.6591,0.0,0.0,0.5,48.220328,16.330808,1|27|4|26|6,0.1780|0.1021|0.0765|0.0689|0.0590,
unit_001901,Vienna,11,15,182.6,1,2.693,2e-05,0.05646,0.5141,48.220375,16.336188,1|27|4|6|26,0.1920|0.1045|0.0960|0.0854|0.0642,
unit_001902,Vienna,11,11,219.3,1,2.491,0.0,0.05748,0.5144,48.218231,16.334128,1|17|26|4|6,0.1900|0.1172|0.0818|0.0619|0.0392,
unit_001903,Vienna,10,10,161.7,1,2.6311,0.0,0.05748,0.5144,48.217835,16.335685,1|17|27|26|6,0.1505|0.1406|0.0723|0.0695|0.0485,
unit_001904,Vienna,13,13,192.9,1,2.7587,0.0,0.0,0.5,48.216483,16.328403,1|27|4|9|26,0.1211|0.1132|0.1103|0.0922|0.0872,
unit_001905,Vienna,21,21,338.9,27,2.6545,0.0,0.0,0.5,48.215202,16.328921,27|6|26|28|1,0.1403|0.1294|0.1097|0.0943|0.0764,
unit_001906,Vienna,11,11,178.8,1,2.4165,0.0,0.0,0.5,48.213295,16.349918,1|17|4|26|0,0.1657|0.0983|0.0728|0.0412|0.0380,
unit_001907,Vienna,23,28,412.1,1,2.6354,0.00013,0.0,0.5,48.2149,16.348837,1|17|4|29|27,0.1428|0.1261|0.0522|0.0457|0.0440,
unit_001908,Vienna,8,8,180.1,1,2.6769,0.0,0.0,0.5,48.216247,16.346831,1|27|26|4|17,0.1536|0.1069|0.0973|0.0729|0.0635,
unit_001909,Vienna,19,19,331.3,1,2.5092,0.0,0.06754,0.5169,48.215974,16.351135,1|17|28|6|10,0.1491|0.1109|0.0666|0.0562|0.0501,
unit_001910,Vienna,9,9,154.7,1,2.4528,0.0,0.17106,0.5427,48.21481,16.35289,1|17|4|27|26,0.1297|0.0982|0.0860|0.0492|0.0415,
unit_001912,Vienna,7,7,162.9,17,2.6022,0.0,0.0,0.5,48.219338,16.357301,17|1|29|31|14,0.1252|0.1088|0.0687|0.0639|0.0569,
unit_001913,Vienna,24,49,351.0,1,2.6105,1e-05,0.10703,0.5267,48.204869,16.368832,1|31|26|29|24,0.1456|0.1240|0.0449|0.0439|0.0394,
unit_001915,Vienna,8,8,102.1,1,2.5551,0.0,0.0,0.5,48.206354,16.369404,1|6|31|27|9,0.1955|0.0624|0.0587|0.0514|0.0487,
unit_001916,Vienna,9,9,156.7,1,2.562,0.0,0.11913,0.5297,48.205516,16.370065,1|27|17|6|9,0.1489|0.0865|0.0790|0.0722|0.0521,
unit_001917,Vienna,35,70,436.0,1,2.5914,0.0,0.05997,0.515,48.202038,16.374016,1|17|27|6|29,0.1993|0.0766|0.0480|0.0465|0.0452,
unit_001918,Vienna,13,13,179.2,1,2.391,0.0,0.0,0.5,48.204404,16.37526,1|31|29|11|24,0.2057|0.0677|0.0457|0.0448|0.0371,
unit_001919,Vienna,6,6,132.3,1,2.5592,0.0,0.0,0.5,48.205987,16.374719,1|6|27|9|17,0.1663|0.0610|0.0495|0.0472|0.0449,
unit_001920,Vienna,12,12,171.1,1,2.5148,0.0,0.05997,0.515,48.203467,16.375316,1|31|6|27|24,0.2363|0.0683|0.0665|0.0372|0.0361,
unit_001923,Vienna,36,41,523.8,1,2.5191,0.0,0.10186,0.5254,48.207415,16.357386,1|17|31|29|2,0.1167|0.0898|0.0583|0.0499|0.0380,
unit_001924,Vienna,4,6,75.9,1,2.7132,3e-05,0.07332,0.5183,48.207207,16.356496,1|24|29|9|26,0.1016|0.0909|0.0828|0.0823|0.0776,
unit_001925,Vienna,7,7,64.0,1,2.4846,0.0,0.0,0.5,48.210061,16.365809,1|27|15|6|9,0.1789|0.0774|0.0595|0.0525|0.0500,
unit_001926,Vienna,10,10,137.0,1,2.6418,0.0,0.0,0.5,48.211411,16.366615,1|27|9|6|17,0.1570|0.0869|0.0695|0.0638|0.0509,
unit_001927,Vienna,18,18,315.4,1,2.4326,0.0,0.04809,0.512,48.209986,16.363872,1|31|27|6|29,0.1728|0.0589|0.0456|0.0409|0.0361,
