city,n_units,C_intra,C_inter,intra_minus_inter,perm_gap_mean,gap_z
Vienna,1092,0.9999,0.7157,0.2841,0.0001,557.6
HongKong,1748,0.9995,0.695,0.3045,-0.0,262.2
