city,final_train_loss,final_val_loss,mean_recon_error,median_active,mean_entropy,final_recon,final_sparse,final_spatial,final_div
Vienna,0.260921,0.260514,0.2484,22,2.937,,,,
HongKong,0.260921,0.260514,0.2728,24,3.0353,,,,
