city,n_covered,S_road,S_perm_mean,S_z,S_euclidean,road_vs_eucl,morans_I_road,morans_I_eucl
Vienna,17689,0.0003,0.2846,-637.1,0.0005,0.62,0.96,1.0
HongKong,37427,0.0006,0.1818,-1051.4,0.0006,0.87,0.954,0.999
