city,n_units,C_intra,C_inter,intra_minus_inter,perm_gap_mean,gap_z
Vienna,2750,0.9999,0.9345,0.0654,0.0001,33.1
HongKong,4422,0.9992,0.8843,0.115,0.0003,44.3
