city,n_panos,lcc_ratio,n_road_nodes,covered_nodes,coverage_ratio,median_active,full_tau,full_frac_pos_edges,full_units,covered_tau,covered_frac_pos_edges,covered_units
HongKong,500,0.9999,247772,17806,0.0719,20.0,0.33548,0.0227,44,0.0277,0.0505,1163
HongKong,2000,1.0,249859,60535,0.2423,23.0,0.28869,0.0728,318,0.04419,0.1579,3977
