city_key,archetype_id,n_images,city_prevalence,global_prevalence,prevalence_ratio
Argentina/BuenosAires,A01,1220,0.0953348441040869,0.14891583821254534,0.6401927776682619
Argentina/BuenosAires,A02,2172,0.16972727983121044,0.13735091785501216,1.2357200263515882
Argentina/BuenosAires,A03,712,0.05563804016566383,0.13343082958043176,0.41698039606450443
Argentina/BuenosAires,A04,1552,0.12127842463077283,0.12065952515455972,1.0051293047558436
Argentina/BuenosAires,A05,795,0.062123935297335314,0.11752873411506318,0.5285850797687878
Argentina/BuenosAires,A06,1185,0.09259982808470735,0.11573895643818403,0.8000748489050421
Argentina/BuenosAires,A07,2565,0.20043760256310073,0.11513972408914043,1.7408205912316
Argentina/BuenosAires,A08,2596,0.2028600453231226,0.11123547455506338,1.8236991942952834
Australia/Sydney,A01,379,0.02975582947318835,0.14891583821254534,0.19981641865869434
Australia/Sydney,A02,1226,0.09625500510324252,0.13735091785501216,0.7007962276950304
Australia/Sydney,A03,2579,0.20248096097982257,0.13343082958043176,1.5174975799559693
Australia/Sydney,A04,1389,0.10905236711941588,0.12065952515455972,0.9038023892413337
Australia/Sydney,A05,1157,0.09083771688780717,0.11752873411506318,0.772897943398889
Australia/Sydney,A06,1935,0.15191960430242601,0.11573895643818403,1.3126056167921818
Australia/Sydney,A07,1745,0.13700243385412578,0.11513972408914043,1.189879817221547
Australia/Sydney,A08,2327,0.18269608227997172,0.11123547455506338,1.6424264202651842
Austria/Vienna,A01,2509,0.19873267326732674,0.14891583821254534,1.3345301322729592
Austria/Vienna,A02,1143,0.09053465346534653,0.13735091785501216,0.6591485144709047
Austria/Vienna,A03,1459,0.11556435643564357,0.13343082958043176,0.8660993624864011
Austria/Vienna,A04,3010,0.2384158415841584,0.12065952515455972,1.97593883515419
Austria/Vienna,A05,881,0.06978217821782179,0.11752873411506318,0.5937456805201656
Austria/Vienna,A06,1402,0.11104950495049505,0.11573895643818403,0.9594825145136537
Austria/Vienna,A07,1517,0.12015841584158415,0.11513972408914043,1.0435878389682285
Austria/Vienna,A08,704,0.05576237623762376,0.11123547455506338,0.5013002952580606
Bangladesh/Dhaka,A01,2696,0.2123503465658475,0.14891583821254534,1.4259755652233783
Bangladesh/Dhaka,A02,5690,0.4481726528040328,0.13735091785501216,3.262975302990873
Bangladesh/Dhaka,A03,1006,0.07923755513547574,0.13343082958043176,0.5938474292982758
Bangladesh/Dhaka,A04,320,0.02520478890989288,0.12065952515455972,0.20889182911673668
Bangladesh/Dhaka,A05,1561,0.12295211090107121,0.11752873411506318,1.0461451135915276
Bangladesh/Dhaka,A06,742,0.05844360428481411,0.11573895643818403,0.5049605256811585
Bangladesh/Dhaka,A07,387,0.0304820415879017,0.11513972408914043,0.2647395747127438
Bangladesh/Dhaka,A08,294,0.023156899810964082,0.11123547455506338,0.20817908948193534
Brazil/SaoPaulo,A01,1906,0.1491159442966672,0.14891583821254534,1.0013437528641933
Brazil/SaoPaulo,A02,1088,0.0851196995775309,0.13735091785501216,0.6197242865707194
Brazil/SaoPaulo,A03,1921,0.150289469566578,0.13343082958043176,1.12634741190741
Brazil/SaoPaulo,A04,1515,0.11852605226099203,0.12065952515455972,0.982318238938577
Brazil/SaoPaulo,A05,1374,0.10749491472383038,0.11752873411506318,0.9146266700923583
Brazil/SaoPaulo,A06,903,0.07064622124863089,0.11573895643818403,0.6103927616313259
Brazil/SaoPaulo,A07,2307,0.1804881865122829,0.11513972408914043,1.5675579209530683
Brazil/SaoPaulo,A08,1768,0.13831951181348773,0.11123547455506338,1.2434838109583224
Canada/Toronto,A01,488,0.03832862079798932,0.14891583821254534,0.25738444787372755
Canada/Toronto,A02,942,0.07398680490103676,0.13735091785501216,0.5386698979262544
Canada/Toronto,A03,1899,0.1491517436380773,0.13343082958043176,1.117820702360012
Canada/Toronto,A04,2395,0.18810870248193529,0.12065952515455972,1.5590041668154755
Canada/Toronto,A05,1334,0.10477536914860194,0.11752873411506318,0.8914872600093232
