city,archetype_id,image_count,city_image_count,city_prevalence
Japan/Osaka,A06,821,12754,0.06437196173749411
Japan/Osaka,A07,307,12754,0.024070879724008155
Japan/Osaka,A08,676,12754,0.053002979457425124
Malaysia/KualaLumpur,A01,2401,12757,0.18821039429332914
Malaysia/KualaLumpur,A02,532,12757,0.0417025946539155
Malaysia/KualaLumpur,A03,2191,12757,0.17174884377204672
Malaysia/KualaLumpur,A04,650,12757,0.050952418280159915
Malaysia/KualaLumpur,A05,2041,12757,0.15999059339970212
Malaysia/KualaLumpur,A06,1176,12757,0.09218468291918162
Malaysia/KualaLumpur,A07,2516,12757,0.19722505291212666
Malaysia/KualaLumpur,A08,1250,12757,0.0979854197695383
Mexico/MexicoCity,A01,1269,12760,0.0994514106583072
Mexico/MexicoCity,A02,1760,12760,0.13793103448275862
Mexico/MexicoCity,A03,1233,12760,0.09663009404388714
Mexico/MexicoCity,A04,3642,12760,0.285423197492163
Mexico/MexicoCity,A05,899,12760,0.07045454545454545
Mexico/MexicoCity,A06,1279,12760,0.10023510971786834
Mexico/MexicoCity,A07,1392,12760,0.10909090909090909
Mexico/MexicoCity,A08,1286,12760,0.10078369905956112
Netherlands/Amsterdam,A01,1718,12639,0.13592847535406283
Netherlands/Amsterdam,A02,1911,12639,0.1511986707809162
Netherlands/Amsterdam,A03,2641,12639,0.2089564047788591
Netherlands/Amsterdam,A04,367,12639,0.02903710736608909
Netherlands/Amsterdam,A05,1462,12639,0.1156737083630034
Netherlands/Amsterdam,A06,774,12639,0.06123902207453121
Netherlands/Amsterdam,A07,2004,12639,0.158556847851887
Netherlands/Amsterdam,A08,1762,12639,0.13940976343065115
Nigeria/Lagos,A01,379,12736,0.029758165829145727
Nigeria/Lagos,A02,447,12736,0.03509736180904523
Nigeria/Lagos,A03,2482,12736,0.19488065326633167
Nigeria/Lagos,A04,680,12736,0.05339195979899498
Nigeria/Lagos,A05,887,12736,0.06964510050251256
Nigeria/Lagos,A06,2814,12736,0.22094849246231155
Nigeria/Lagos,A07,2670,12736,0.20964195979899497
