image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,UMAP1,UMAP2
1199,Argentina/BuenosAires,A03,7,0.1614809,9.78181,3.7136295
1204,Argentina/BuenosAires,A04,1,0.15125984,8.228479,7.762439
1231,Argentina/BuenosAires,A03,7,0.13419193,7.7956195,5.146658
1243,Argentina/BuenosAires,A03,7,0.16198508,8.238845,3.8551292
1255,Argentina/BuenosAires,A07,4,0.11744277,3.768228,5.6154156
1290,Argentina/BuenosAires,A06,5,0.14231767,7.7320848,6.2308035
1320,Argentina/BuenosAires,A03,7,0.18779312,8.98682,4.167203
1325,Argentina/BuenosAires,A04,1,0.12528615,6.822094,7.8661265
1328,Argentina/BuenosAires,A08,2,0.13121778,8.185388,7.065133
1339,Argentina/BuenosAires,A03,7,0.16412434,9.935185,4.28933
1367,Argentina/BuenosAires,A06,5,0.17357935,8.378375,3.5212512
1372,Argentina/BuenosAires,A02,0,0.18192841,9.815004,5.4204407
1382,Argentina/BuenosAires,A08,2,0.112489775,5.3915305,5.6608796
1385,Argentina/BuenosAires,A06,5,0.17122608,7.2267146,5.9276943
1444,Argentina/BuenosAires,A04,1,0.116871595,7.498157,6.985426
1453,Argentina/BuenosAires,A07,4,0.14827636,3.6038802,6.044547
1459,Argentina/BuenosAires,A03,7,0.14511745,8.671734,4.243306
1466,Argentina/BuenosAires,A06,5,0.11004593,7.8635035,2.7009346
1474,Argentina/BuenosAires,A06,5,0.17757489,6.92,4.7188973
1499,Argentina/BuenosAires,A02,0,0.109056585,9.237993,6.0750017
1511,Argentina/BuenosAires,A08,2,0.17236425,8.396088,7.2518997
1520,Argentina/BuenosAires,A02,0,0.13775572,8.912113,5.073956
1536,Argentina/BuenosAires,A01,6,0.15259705,7.313163,5.4518647
1553,Argentina/BuenosAires,A06,5,0.20977719,7.149353,3.470839
1556,Argentina/BuenosAires,A08,2,0.1456006,5.8903875,6.47392
1558,Argentina/BuenosAires,A08,2,0.15278943,9.3869705,6.6645803
1561,Argentina/BuenosAires,A04,1,0.10425504,6.4458656,7.7302647
1568,Argentina/BuenosAires,A03,7,0.18567102,8.785389,3.8227036
1604,Argentina/BuenosAires,A08,2,0.1405668,6.9962783,6.302234
1653,Argentina/BuenosAires,A03,7,0.17084762,9.713403,3.681256
1707,Argentina/BuenosAires,A07,4,0.15064524,4.4290457,6.945114
1723,Argentina/BuenosAires,A04,1,0.1043048,7.3874826,7.4444323
1740,Argentina/BuenosAires,A06,5,0.16994397,8.060036,3.3737214
1762,Argentina/BuenosAires,A04,1,0.107740946,7.858596,7.2657228
1771,Argentina/BuenosAires,A04,1,0.12928203,7.748504,7.1982126
1778,Argentina/BuenosAires,A07,4,0.10378758,3.7857676,6.008196
1797,Argentina/BuenosAires,A02,0,0.12523288,9.706105,2.9961996
1838,Argentina/BuenosAires,A03,7,0.12368349,9.21013,4.310071
1843,Argentina/BuenosAires,A04,1,0.17408803,7.7655644,5.4411726
1875,Argentina/BuenosAires,A08,2,0.14709435,8.211015,6.9114823
1891,Argentina/BuenosAires,A06,5,0.1250653,8.162698,3.9665127
1893,Argentina/BuenosAires,A06,5,0.16725227,6.740755,4.379487
1925,Argentina/BuenosAires,A04,1,0.14641856,7.4164352,7.8206873
1969,Argentina/BuenosAires,A06,5,0.1765657,6.6473765,4.1445837
1978,Argentina/BuenosAires,A03,7,0.17259023,8.124955,3.9125333
1988,Argentina/BuenosAires,A06,5,0.112917155,6.8707695,4.85431
1990,Argentina/BuenosAires,A03,7,0.18420745,4.132004,3.6202013
2008,Argentina/BuenosAires,A03,7,0.18429048,8.253029,3.7153451
2016,Argentina/BuenosAires,A01,6,0.110719554,8.169994,5.089542
2022,Argentina/BuenosAires,A05,3,0.12025894,5.675128,2.9449935
2023,Argentina/BuenosAires,A06,5,0.12722747,7.6974797,3.507017
2029,Argentina/BuenosAires,A02,0,0.13292773,8.8146515,6.8206153
2031,Argentina/BuenosAires,A03,7,0.12419912,8.39427,5.235861
2057,Argentina/BuenosAires,A05,3,0.12051459,7.7768054,2.4312098
2074,Argentina/BuenosAires,A04,1,0.12682848,7.3993096,7.692996
2092,Argentina/BuenosAires,A06,5,0.32380903,6.955247,4.038851
2110,Argentina/BuenosAires,A01,6,0.16816157,8.680627,3.388817
2117,Argentina/BuenosAires,A07,4,0.108762264,4.5944963,4.6552305
2139,Argentina/BuenosAires,A04,1,0.11184686,8.382279,8.121611
2150,Argentina/BuenosAires,A08,2,0.16174567,8.637265,2.8527207
2164,Argentina/BuenosAires,A06,5,0.1199615,6.858863,3.8696985
2179,Argentina/BuenosAires,A08,2,0.14172426,4.890168,6.7352724
2198,Argentina/BuenosAires,A06,5,0.13828252,6.2648015,4.164671
2203,Argentina/BuenosAires,A08,2,0.14432731,6.3934493,4.979031
2219,Argentina/BuenosAires,A02,0,0.14733028,9.398765,2.6489687
2230,Argentina/BuenosAires,A06,5,0.14503857,7.506212,3.4360332
2244,Argentina/BuenosAires,A06,5,0.16049854,6.3253455,4.7293215
2245,Argentina/BuenosAires,A02,0,0.17283572,8.472441,5.6667676
2246,Argentina/BuenosAires,A08,2,0.1837406,8.92913,5.4041686
2256,Argentina/BuenosAires,A03,7,0.15747195,7.912084,3.8420773
2260,Argentina/BuenosAires,A04,1,0.17646933,7.66037,6.115809
2263,Argentina/BuenosAires,A06,5,0.16320002,6.5336676,4.112358
2297,Argentina/BuenosAires,A08,2,0.15544802,5.5622663,3.8586402
2311,Argentina/BuenosAires,A04,1,0.12005297,7.8587174,7.660653
2315,Argentina/BuenosAires,A07,4,0.119174324,5.155625,6.877668
2369,Argentina/BuenosAires,A05,3,0.18772729,7.205749,2.349633
2397,Argentina/BuenosAires,A06,5,0.15658778,7.42468,3.0325742
2411,Argentina/BuenosAires,A05,3,0.15671161,8.158691,2.8532875
2422,Argentina/BuenosAires,A06,5,0.19785218,6.4831157,4.038737
2430,Argentina/BuenosAires,A04,1,0.21147287,8.602047,4.0706635
2436,Argentina/BuenosAires,A04,1,0.13649675,7.696833,7.397083
2464,Argentina/BuenosAires,A03,7,0.12568404,8.707364,4.7927074
2473,Argentina/BuenosAires,A08,2,0.15155903,6.6000376,3.7623782
2538,Argentina/BuenosAires,A05,3,0.11155325,6.806915,1.5970594
2542,Argentina/BuenosAires,A02,0,0.16514884,7.82873,3.452536
2578,Argentina/BuenosAires,A07,4,0.20302337,2.9524903,5.1644964
2579,Argentina/BuenosAires,A03,7,0.11502624,9.336208,3.6232164
