archetype_id,image_count,image_share,top_node_1,top_node_2,top_node_3,top_edge_1,top_edge_2,top_edge_3
A01,56315,0.14865977857440776,F029,F013,F058,F029-F054,F013-F058,F027-F058
A02,55346,0.14610182198311591,F028,F010,F054,F010-F013,F036-F054,F033-F054
A03,54987,0.14515413734299848,F021,F053,F013,F007-F013,F007-F010,F007-F045
A04,52592,0.1388318400920759,F054,F058,F013,F036-F054,F021-F054,F029-F054
A05,46671,0.12320164300534822,F036,F013,F054,F036-F054,F007-F013,F029-F036
A06,44879,0.1184711391750128,F058,F054,F036,F036-F054,F013-F058,F007-F013
A07,37427,0.09879942346984567,F057,F054,F058,F036-F054,F007-F057,F013-F058
A08,30601,0.08078021635719528,F057,F054,F013,F036-F054,F010-F013,F007-F010
