unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_005421,HongKong,17,17,334.6,26,3.0536,0.0,0.0,0.5,22.364301,114.068948,26|9|15|17|11,0.1001|0.0984|0.0778|0.0675|0.0592,
unit_005422,HongKong,8,8,181.2,11,3.0683,0.0,0.0,0.5,22.368279,114.094165,11|26|28|4|9,0.0884|0.0719|0.0717|0.0672|0.0642,
unit_005423,HongKong,3,3,51.0,17,3.053,0.0,0.0,0.5,22.368498,114.09799,17|12|18|25|20,0.0933|0.0931|0.0848|0.0781|0.0692,
unit_005424,HongKong,25,25,428.4,25,3.0799,0.0,0.0,0.5,22.371706,114.102876,25|15|18|20|26,0.1188|0.1033|0.0598|0.0574|0.0534,
unit_005425,HongKong,37,37,759.5,17,3.053,0.0,0.0,0.5,22.369322,114.098212,17|12|18|25|20,0.0933|0.0931|0.0848|0.0781|0.0692,
unit_005426,HongKong,8,8,130.5,25,3.0377,0.0,0.0,0.5,22.373373,114.116286,25|11|10|4|22,0.1239|0.1057|0.0803|0.0720|0.0663,
unit_005427,HongKong,26,26,368.4,25,3.0344,0.0,0.0,0.5,22.37499,114.112357,25|10|11|4|1,0.1125|0.1091|0.0657|0.0586|0.0548,
unit_005428,HongKong,27,27,444.4,25,2.9992,0.0,0.0,0.5,22.375627,114.110123,25|2|8|16|19,0.1091|0.0791|0.0658|0.0603|0.0571,
unit_005429,HongKong,40,40,708.1,25,3.023,0.0,0.0,0.5,22.363357,114.118254,25|15|26|6|10,0.1046|0.0910|0.0796|0.0783|0.0775,
unit_005430,HongKong,7,7,154.2,25,3.023,0.0,0.0,0.5,22.363306,114.118325,25|15|26|6|10,0.1046|0.0910|0.0796|0.0783|0.0775,
unit_005431,HongKong,8,8,179.9,15,3.1354,0.0,0.0,0.5,22.362042,114.115735,15|30|2|8|18,0.1331|0.0707|0.0705|0.0659|0.0657,
unit_005432,HongKong,7,7,156.7,20,3.06,0.0,0.0,0.5,22.446434,114.001702,20|15|28|19|26,0.0947|0.0937|0.0709|0.0703|0.0690,
unit_005433,HongKong,9,9,163.2,3,2.9732,0.0,0.06043,0.5151,22.448636,114.003431,3|25|12|15|11,0.0931|0.0928|0.0906|0.0869|0.0859,
unit_005434,HongKong,53,53,783.0,15,3.0825,0.0,0.0,0.5,22.451379,114.007029,15|28|3|11|25,0.1024|0.0836|0.0822|0.0820|0.0769,
unit_005435,HongKong,51,98,1699.8,11,3.1071,1e-05,0.07873,0.5197,22.450574,114.002369,11|25|22|1|12,0.1051|0.0842|0.0646|0.0617|0.0612,
unit_005436,HongKong,29,29,435.1,11,3.0659,0.0,0.0,0.5,22.453526,114.004447,11|25|20|15|2,0.1258|0.0952|0.0903|0.0823|0.0579,
unit_005437,HongKong,37,37,869.0,15,3.0291,0.0,0.0,0.5,22.456816,114.005813,15|11|3|25|20,0.1162|0.1076|0.0923|0.0829|0.0653,
unit_005439,HongKong,17,17,351.7,15,3.0033,0.0,0.0,0.5,22.460348,114.008455,15|9|12|20|22,0.1167|0.1149|0.0924|0.0688|0.0553,
unit_005440,HongKong,50,50,881.8,11,3.073,0.0,0.0,0.5,22.459282,113.997679,11|3|12|18|1,0.1101|0.0881|0.0805|0.0652|0.0648,
unit_005441,HongKong,26,26,553.0,11,3.0098,0.0,0.0,0.5,22.458274,114.004322,11|15|3|25|22,0.1091|0.0939|0.0903|0.0862|0.0681,
unit_005442,HongKong,53,61,1233.4,11,3.0072,2e-05,0.0,0.5,22.461816,114.004125,11|25|3|15|8,0.1368|0.0934|0.0847|0.0765|0.0653,
unit_005443,HongKong,34,60,790.0,9,3.0138,7e-05,0.0,0.5,22.4554,114.008851,9|15|12|3|22,0.1477|0.1052|0.0964|0.0724|0.0586,
unit_005444,HongKong,7,9,150.3,25,3.0076,0.0,0.12033,0.53,22.462313,114.008436,25|15|12|3|11,0.1076|0.0990|0.0815|0.0643|0.0616,
unit_005445,HongKong,76,97,1469.7,15,3.1245,0.00017,0.12033,0.53,22.462839,114.0084,15|25|12|11|3,0.1121|0.0771|0.0741|0.0652|0.0646,
unit_005446,HongKong,24,24,411.7,11,3.0117,0.0,0.0,0.5,22.464527,114.004318,11|3|15|25|12,0.1133|0.1027|0.0875|0.0840|0.0755,
unit_005447,HongKong,46,67,823.5,15,3.0869,4e-05,0.0,0.5,22.466276,114.005291,15|10|3|11|28,0.1025|0.0839|0.0832|0.0820|0.0816,
unit_005448,HongKong,65,124,1456.2,11,3.0838,0.00011,0.08337,0.5208,22.470825,114.002102,11|15|25|3|10,0.1249|0.0904|0.0867|0.0811|0.0628,
unit_005449,HongKong,8,9,175.6,11,3.1038,2e-05,0.06334,0.5158,22.47139,113.997759,11|9|15|26|16,0.0940|0.0851|0.0840|0.0763|0.0680,
unit_005450,HongKong,7,7,150.5,15,3.0659,0.0,0.06334,0.5158,22.469953,113.99689,15|12|9|30|17,0.1199|0.1071|0.0890|0.0619|0.0617,
unit_005451,HongKong,5,5,100.3,19,2.9549,0.0,0.0,0.5,22.468318,113.996118,19|30|15|20|2,0.1080|0.0565|0.0535|0.0534|0.0499,
unit_005452,HongKong,57,99,952.0,25,3.0569,5e-05,0.0,0.5,22.461841,113.996909,25|9|6|3|15,0.1247|0.0841|0.0803|0.0798|0.0765,
unit_005453,HongKong,8,8,178.4,25,2.8905,0.0,0.0,0.5,22.462032,114.000711,25|11|15|8|20,0.1011|0.0985|0.0959|0.0633|0.0621,
unit_005454,HongKong,10,10,211.6,7,3.0789,0.0,0.0,0.5,22.45433,114.001603,7|20|8|11|19,0.1018|0.0797|0.0752|0.0700|0.0697,
unit_005455,HongKong,33,33,565.8,11,3.0602,0.0,0.09703,0.5242,22.449952,114.001521,11|25|10|3|8,0.1027|0.0995|0.0864|0.0788|0.0698,
unit_005456,HongKong,8,8,185.7,10,3.0801,0.0,0.0,0.5,22.466479,113.996964,10|11|26|25|3,0.0922|0.0861|0.0779|0.0747|0.0704,
unit_005457,HongKong,7,10,152.5,17,3.1137,0.0,0.0,0.5,22.415995,113.988484,17|6|18|15|16,0.1038|0.0950|0.0773|0.0711|0.0643,
unit_005458,HongKong,14,14,279.2,15,3.1219,0.0,0.0,0.5,22.416539,113.990124,15|6|3|17|25,0.0875|0.0798|0.0798|0.0779|0.0758,
unit_005459,HongKong,3,3,51.0,15,3.1102,0.0,0.0,0.5,22.418139,113.991836,15|17|12|30|5,0.1121|0.0883|0.0788|0.0684|0.0654,
unit_005460,HongKong,6,6,126.5,15,3.1102,0.0,0.0,0.5,22.418165,113.992205,15|17|12|30|5,0.1121|0.0883|0.0788|0.0684|0.0654,
unit_005461,HongKong,10,13,227.7,9,3.0629,7e-05,0.0,0.5,22.420065,113.992951,9|26|15|18|27,0.1333|0.1205|0.0704|0.0635|0.0500,
unit_005462,HongKong,18,20,377.3,9,3.0891,4e-05,0.0,0.5,22.423807,113.996028,9|26|27|24|1,0.1388|0.0845|0.0716|0.0670|0.0523,
unit_005463,HongKong,12,16,276.3,9,3.1012,0.0001,0.0,0.5,22.426297,113.999547,9|17|20|12|26,0.1189|0.0728|0.0668|0.0636|0.0607,
unit_005464,HongKong,8,8,175.8,9,3.0605,0.0,0.0,0.5,22.428342,114.00094,9|20|12|17|22,0.1611|0.0874|0.0862|0.0661|0.0643,
unit_005465,HongKong,16,18,340.4,15,3.1149,5e-05,0.17159,0.5428,22.432422,114.002616,15|7|10|12|3,0.0859|0.0682|0.0642|0.0622|0.0611,
unit_005466,HongKong,7,7,150.4,15,3.1445,0.0,0.0,0.5,22.436124,114.019129,15|1|3|17|7,0.1010|0.0858|0.0857|0.0664|0.0625,
unit_005467,HongKong,7,7,150.4,26,3.1242,0.0,0.0,0.5,22.435126,114.023761,26|18|9|27|20,0.1199|0.1000|0.0917|0.0700|0.0622,
unit_005468,HongKong,8,8,175.5,15,3.0215,0.0,0.0,0.5,22.434094,114.031235,15|30|27|18|8,0.0956|0.0923|0.0821|0.0729|0.0725,
unit_005469,HongKong,8,8,127.3,16,3.0371,0.0,0.2531,0.5629,22.434661,114.03332,16|7|30|10|8,0.0796|0.0658|0.0624|0.0592|0.0580,
unit_005470,HongKong,9,9,153.1,12,3.1185,0.0,0.0,0.5,22.387193,113.968736,12|9|3|11|6,0.0960|0.0960|0.0723|0.0714|0.0679,
unit_005471,HongKong,7,7,151.3,15,3.1254,0.0,0.2531,0.5629,22.435318,114.034471,15|26|9|2|20,0.1156|0.0925|0.0851|0.0736|0.0648,
unit_005472,HongKong,8,8,176.5,12,3.0547,0.0,0.0,0.5,22.439829,114.039003,12|9|20|15|17,0.1150|0.1055|0.0936|0.0846|0.0704,
unit_005473,HongKong,7,7,151.3,15,2.8888,0.0,0.0,0.5,22.443068,114.03937,15|12|9|30|19,0.1279|0.1087|0.0789|0.0733|0.0681,
unit_005474,HongKong,7,7,151.3,9,3.0744,0.0,0.0,0.5,22.44488,114.039433,9|22|15|12|19,0.1217|0.1008|0.0900|0.0797|0.0750,
unit_005476,HongKong,6,6,133.5,15,3.1254,0.0,0.0,0.5,22.435454,114.034335,15|26|9|2|20,0.1156|0.0925|0.0851|0.0736|0.0648,
unit_005477,HongKong,39,39,639.6,18,3.135,0.0,0.0,0.5,22.40513,113.97272,18|19|26|28|3,0.0999|0.0779|0.0753|0.0723|0.0691,
unit_005478,HongKong,8,8,183.3,18,3.135,0.0,0.0,0.5,22.405063,113.973027,18|19|26|28|3,0.0999|0.0779|0.0753|0.0723|0.0691,
unit_005479,HongKong,20,20,388.0,25,3.0009,0.0,0.0,0.5,22.378589,114.107275,25|11|10|22|4,0.1302|0.0985|0.0831|0.0798|0.0745,
