unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_004786,HongKong,9,9,155.9,1,2.4001,0.0,0.09621,0.524,22.341139,114.138271,1|16|2|21|27,0.0884|0.0837|0.0799|0.0656|0.0603,
unit_004787,HongKong,8,8,179.5,18,2.2508,0.0,0.0,0.5,22.348915,114.12453,18|21|1|3|2,0.1217|0.0809|0.0541|0.0538|0.0452,
unit_004788,HongKong,7,9,153.9,14,2.2052,2e-05,0.07739,0.5193,22.345699,114.125215,14|18|2|16|21,0.1106|0.0916|0.0729|0.0531|0.0417,
unit_004789,HongKong,6,6,126.7,22,2.4207,0.0,0.07297,0.5182,22.280563,114.1386,22|31|1|16|7,0.1040|0.1022|0.0777|0.0602|0.0572,
unit_004790,HongKong,6,6,126.7,22,2.4207,0.0,0.07297,0.5182,22.280563,114.1386,22|31|1|16|7,0.1040|0.1022|0.0777|0.0602|0.0572,
unit_004791,HongKong,10,10,203.8,21,2.4761,0.0,0.05931,0.5148,22.242513,114.158946,21|7|1|31|23,0.0994|0.0752|0.0726|0.0719|0.0685,
unit_004792,HongKong,17,25,400.3,7,2.4081,3e-05,0.0,0.5,22.239538,114.160335,7|21|13|1|16,0.1091|0.0926|0.0650|0.0534|0.0478,
unit_004794,HongKong,18,50,282.7,1,2.4741,4e-05,0.0687,0.5172,22.243366,114.158792,1|16|31|7|21,0.1151|0.0808|0.0772|0.0602|0.0572,
unit_004795,HongKong,8,8,181.6,18,2.4608,0.0,0.0,0.5,22.246657,114.160685,18|21|1|31|10,0.1340|0.0749|0.0667|0.0595|0.0560,
unit_004799,HongKong,8,8,175.8,27,2.4807,0.0,0.0,0.5,22.26506,114.150989,27|7|16|31|10,0.0768|0.0765|0.0718|0.0608|0.0415,
unit_004800,HongKong,22,22,449.2,7,2.3221,0.0,0.12929,0.5323,22.263571,114.148635,7|31|16|22|21,0.0930|0.0830|0.0740|0.0638|0.0615,
unit_004801,HongKong,7,7,150.8,22,2.5544,0.0,0.0,0.5,22.263174,114.149535,22|7|27|21|1,0.0763|0.0719|0.0528|0.0492|0.0482,
unit_004802,HongKong,8,8,176.0,22,2.3351,0.0,0.0,0.5,22.260967,114.149836,22|27|21|23|2,0.0999|0.0919|0.0850|0.0620|0.0554,
unit_004803,HongKong,9,9,201.1,22,2.3712,0.0,0.0,0.5,22.260187,114.148261,22|27|21|16|10,0.1135|0.0977|0.0521|0.0411|0.0279,
unit_004804,HongKong,8,9,176.0,22,2.3966,0.0,0.12929,0.5323,22.262397,114.147452,22|27|21|7|2,0.1190|0.0693|0.0632|0.0536|0.0390,
unit_004805,HongKong,6,7,131.4,22,2.4739,0.0,0.13955,0.5348,22.266796,114.154912,22|27|31|2|10,0.0912|0.0901|0.0704|0.0573|0.0551,
unit_004807,HongKong,8,8,177.1,27,2.4765,0.0,0.0,0.5,22.272179,114.147756,27|21|31|7|22,0.0871|0.0846|0.0742|0.0693|0.0652,
unit_004808,HongKong,16,19,379.6,22,2.3059,7e-05,0.0,0.5,22.274626,114.147037,22|27|31|16|21,0.1650|0.0566|0.0538|0.0512|0.0421,
unit_004809,HongKong,12,19,278.3,22,2.2844,3e-05,0.0,0.5,22.274636,114.144339,22|31|27|16|23,0.1514|0.0665|0.0630|0.0441|0.0413,
unit_004810,HongKong,10,14,202.4,22,2.1677,0.0,0.0,0.5,22.275263,114.143848,22|27|31|16|1,0.1576|0.0712|0.0513|0.0374|0.0366,
unit_004811,HongKong,12,15,277.1,21,2.4702,3e-05,0.09854,0.5246,22.265888,114.126326,21|22|27|7|10,0.1204|0.1006|0.0722|0.0678|0.0536,
unit_004812,HongKong,14,17,281.4,23,2.4463,5e-05,0.0,0.5,22.274495,114.151956,23|1|22|27|21,0.0714|0.0700|0.0695|0.0691|0.0673,
unit_004813,HongKong,8,8,179.3,31,2.3836,0.0,0.0,0.5,22.273387,114.154943,31|1|22|27|23,0.1221|0.0855|0.0477|0.0444|0.0370,
unit_004814,HongKong,8,8,179.3,31,2.3836,0.0,0.0,0.5,22.273387,114.154943,31|1|22|27|23,0.1221|0.0855|0.0477|0.0444|0.0370,
unit_004815,HongKong,6,6,128.7,31,2.3836,0.0,0.0,0.5,22.273708,114.154906,31|1|22|27|23,0.1221|0.0855|0.0477|0.0444|0.0370,
unit_004816,HongKong,7,7,153.3,7,2.4869,0.0,0.0,0.5,22.273459,114.119038,7|31|16|27|22,0.0947|0.0851|0.0732|0.0723|0.0650,
unit_004817,HongKong,8,8,178.1,7,2.4869,0.0,0.0,0.5,22.273623,114.119322,7|31|16|27|22,0.0947|0.0851|0.0732|0.0723|0.0650,
unit_004818,HongKong,8,14,178.1,27,2.5376,0.0,0.0,0.5,22.272673,114.121308,27|31|7|16|1,0.0977|0.0888|0.0720|0.0616|0.0508,
unit_004819,HongKong,8,8,178.1,22,2.3247,0.0,0.0,0.5,22.273494,114.125272,22|23|27|31|10,0.0863|0.0785|0.0750|0.0698|0.0472,
