cluster_id,parent_cluster_id,member_dimensions,medoid_dimension,cluster_size,mean_split_sample_jaccard,representative_images,representative_activation_maps
F022,C005,"[27, 138, 245, 295, 349, 356, 390, 394, 452]",27,9,0.5876411199569702,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_01_Netherlands__Amsterdam_00617.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_02_UnitedKingdom__London_06068.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_03_Netherlands__Amsterdam_09232.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_04_Netherlands__Amsterdam_09881.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_05_Netherlands__Amsterdam_04653.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_06_Netherlands__Amsterdam_10592.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_07_UnitedKingdom__London_06230.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_08_Netherlands__Amsterdam_03326.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_09_Netherlands__Amsterdam_01948.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/rank_10_UnitedStates__NewYorkCity_03067.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_027/contact_sheet.jpg
F062,C005,"[292, 434, 440, 488]",434,4,0.5,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_01_Australia__Sydney_00940.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_02_UnitedStates__LosAngeles_05008.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_03_Singapore__Singapore_05405.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_04_India__Mumbai_08019.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_05_SouthAfrica__CapeTown_08635.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_06_Bangladesh__Dhaka_00550.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_07_Bangladesh__Dhaka_05183.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_08_Malaysia__KualaLumpur_00809.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_09_Bangladesh__Dhaka_02113.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/rank_10_Brazil__SaoPaulo_08123.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_434/contact_sheet.jpg
F006,C006,"[7, 28, 115, 137, 230, 327, 459, 460, 469]",460,9,0.8267045617103577,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_01_India__Mumbai_06140.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_02_Thailand__Bangkok_11537.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_03_India__NewDelhi_04862.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_04_India__Mumbai_12500.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_05_India__NewDelhi_05407.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_06_India__NewDelhi_02706.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_07_India__Mumbai_09871.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_08_India__NewDelhi_11927.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_09_Nigeria__Lagos_03841.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_10_India__NewDelhi_04305.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/contact_sheet.jpg
F007,C007,"[8, 89, 112, 122, 228, 269, 319, 346, 353, 379, 487]",319,11,0.7774307131767273,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_01_Nigeria__Lagos_11415.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_02_Indonesia__Jakarta_11621.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_03_Indonesia__Jakarta_10902.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_04_SouthAfrica__CapeTown_12233.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_05_UnitedKingdom__London_05216.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_06_Nigeria__Lagos_01730.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_07_UnitedKingdom__London_11189.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_08_France__Paris_12601.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_09_Indonesia__Jakarta_08880.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_10_Brazil__SaoPaulo_01618.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/contact_sheet.jpg
F008,C008,"[9, 169, 241, 276, 297, 320, 451, 476, 479, 505]",241,10,0.4440178871154785,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_01_China__HongKong_00001.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_02_China__HongKong_12670.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_03_Taiwan__Taipei_10526.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_04_China__HongKong_07200.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_05_China__HongKong_11684.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_06_Indonesia__Jakarta_07266.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_07_Mexico__MexicoCity_08034.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_08_China__HongKong_04321.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_09_China__HongKong_08179.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/rank_10_China__HongKong_07375.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_241/contact_sheet.jpg
F047,C008,"[79, 136, 215, 413, 417, 435]",215,6,0.3610449731349945,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_01_China__HongKong_11488.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_02_SouthKorea__Seoul_05804.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_03_Russia__Moscow_11758.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_04_Taiwan__Taipei_04248.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_05_UnitedKingdom__London_07172.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_06_France__Paris_11673.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_07_SouthKorea__Seoul_09716.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_08_Malaysia__KualaLumpur_03605.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_09_Thailand__Bangkok_11085.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_10_Canada__Toronto_01658.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/contact_sheet.jpg
F009,C009,"[10, 51, 182, 197, 240, 265, 274, 368, 392, 411, 431, 449]",182,12,1.0,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_01_Russia__Moscow_02566.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_02_Taiwan__Taipei_00235.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_03_Malaysia__KualaLumpur_07391.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_04_Singapore__Singapore_11930.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_05_Colombia__Bogota_05658.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_06_Singapore__Singapore_01562.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_07_Singapore__Singapore_01277.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_08_UnitedStates__LosAngeles_08285.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_09_SouthAfrica__CapeTown_12607.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_10_Singapore__Singapore_09550.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/contact_sheet.jpg
F011,C010,"[13, 31, 147, 204, 205, 207, 213, 214, 220, 242, 383, 404]",383,12,0.38482144474983215,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_01_UnitedStates__NewYorkCity_06416.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_02_SouthAfrica__Johannesburg_04805.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_03_Turkey__Istanbul_02356.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_04_Russia__Moscow_08408.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_05_Australia__Sydney_08784.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_06_Colombia__Bogota_09459.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_07_Canada__Toronto_06424.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_08_Austria__Vienna_01250.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_09_SouthAfrica__CapeTown_08815.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/rank_10_SouthAfrica__CapeTown_07006.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_383/contact_sheet.jpg
F035,C010,"[47, 148, 163, 302, 415, 497, 510]",148,7,0.32127076387405396,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_01_Philippines__Manila_06719.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_02_Malaysia__KualaLumpur_08145.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_03_Turkey__Istanbul_07044.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_04_Peru__Lima_00058.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_05_Indonesia__Jakarta_07753.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_06_China__HongKong_08406.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_07_Turkey__Istanbul_03135.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_08_Mexico__MexicoCity_11636.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_09_Turkey__Istanbul_02676.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/rank_10_Brazil__SaoPaulo_08175.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_148/contact_sheet.jpg
F012,C011,"[14, 114, 151, 270, 282, 310, 433, 465]",433,8,0.27633875608444214,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_01_Bangladesh__Dhaka_04313.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_02_Indonesia__Jakarta_08151.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_03_Bangladesh__Dhaka_09485.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_04_Indonesia__Jakarta_12471.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_05_Bangladesh__Dhaka_03740.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_06_Indonesia__Jakarta_10237.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_07_Malaysia__KualaLumpur_04602.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_08_China__HongKong_05886.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_09_Bangladesh__Dhaka_04182.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/rank_10_Bangladesh__Dhaka_09029.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_433/contact_sheet.jpg
F017,C011,"[20, 60, 160, 167, 277, 290, 348, 350]",277,8,0.4373970031738281,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_01_Turkey__Istanbul_02227.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_02_Japan__Osaka_08852.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_03_Austria__Vienna_00567.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_04_Taiwan__Taipei_08360.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_05_Peru__Lima_01496.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_06_SouthKorea__Seoul_05778.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_07_Turkey__Istanbul_11725.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_08_Argentina__BuenosAires_03536.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_09_China__HongKong_06224.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/rank_10_France__Paris_05979.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_277/contact_sheet.jpg
F041,C011,"[65, 86, 118, 275, 289, 430]",430,6,0.511904776096344,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_01_Malaysia__KualaLumpur_00546.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_02_Taiwan__Taipei_07078.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_03_UnitedStates__LosAngeles_06082.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_04_Canada__Toronto_11114.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_05_UnitedKingdom__London_10555.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_06_Bangladesh__Dhaka_01885.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_07_Nigeria__Lagos_03084.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_08_Mexico__MexicoCity_06513.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_09_China__HongKong_03519.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/rank_10_UnitedStates__LosAngeles_00306.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_430/contact_sheet.jpg
F013,C012,"[15, 54, 198, 253, 261, 266, 357, 374, 408, 471, 477]",198,11,0.515392541885376,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_01_France__Paris_08182.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_02_France__Paris_03616.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_03_France__Paris_05435.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_04_France__Paris_02123.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_05_Malaysia__KualaLumpur_09278.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_06_France__Paris_00555.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_07_Bangladesh__Dhaka_04612.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_08_Peru__Lima_04619.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_09_France__Paris_08760.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/rank_10_France__Paris_07839.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_198/contact_sheet.jpg
F030,C012,"[39, 82, 132, 195, 223]",195,5,0.38914141058921814,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_01_Mexico__MexicoCity_04625.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_02_SouthKorea__Seoul_02672.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_03_Japan__Osaka_01391.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_04_Indonesia__Jakarta_09222.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_05_Bangladesh__Dhaka_04227.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_06_Argentina__BuenosAires_12088.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_07_Turkey__Istanbul_03026.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_08_Indonesia__Jakarta_10714.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_09_Mexico__MexicoCity_09898.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/rank_10_Bangladesh__Dhaka_03623.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_195/contact_sheet.jpg
F032,C012,"[41, 94, 333, 473]",333,4,0.42500001192092896,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_01_Australia__Sydney_04452.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_02_Mexico__MexicoCity_00029.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_03_SouthKorea__Seoul_08331.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_04_SouthKorea__Seoul_10560.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_05_UnitedKingdom__London_02018.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_06_Argentina__BuenosAires_07242.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_07_France__Paris_08370.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_08_Turkey__Istanbul_11536.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_09_Turkey__Istanbul_00089.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/rank_10_Netherlands__Amsterdam_02847.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_333/contact_sheet.jpg
F014,C013,"[16, 62, 226, 235, 257, 288, 323, 326, 340]",323,9,0.6375317573547363,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_01_Russia__Moscow_11355.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_02_UnitedKingdom__London_12662.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_03_Colombia__Bogota_01878.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_04_Netherlands__Amsterdam_01047.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_05_Colombia__Bogota_07734.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_06_Malaysia__KualaLumpur_01395.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_07_UnitedKingdom__London_09157.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_08_Netherlands__Amsterdam_02356.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_09_Colombia__Bogota_03569.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/rank_10_Russia__Moscow_06316.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_323/contact_sheet.jpg
F018,C013,"[22, 26, 43, 72, 200, 419]",22,6,0.2877193093299866,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_01_Philippines__Manila_03813.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_02_Indonesia__Jakarta_04242.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_03_Philippines__Manila_01476.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_04_India__NewDelhi_09486.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_05_China__HongKong_02493.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_06_Indonesia__Jakarta_00958.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_07_Indonesia__Jakarta_04571.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_08_Netherlands__Amsterdam_00215.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_09_Peru__Lima_12338.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/rank_10_Thailand__Bangkok_05712.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_022/contact_sheet.jpg
