city,element_id,morans_i,expected_i,p_value,z_score,grid_size_m,minimum_panoramas
BuenosAires,F000,0.23464559443977842,-0.0012077294685990338,0.001,5.760853579018207,1000,5
BuenosAires,F001,0.06706139306992771,-0.0012077294685990338,0.1,1.607948295865941,1000,5
BuenosAires,F002,0.17916383547053302,-0.0012077294685990338,0.003,4.158963517814899,1000,5
BuenosAires,F003,0.07582265238592503,-0.0012077294685990338,0.066,1.7668010547251067,1000,5
BuenosAires,F004,0.08820501600861917,-0.0012077294685990338,0.038,2.1019284526021838,1000,5
BuenosAires,F005,0.1988450335058364,-0.0012077294685990338,0.001,4.762120403344853,1000,5
BuenosAires,F006,0.1267604199666511,-0.0012077294685990338,0.01,2.90612400355672,1000,5
BuenosAires,F007,0.3290281755969036,-0.0012077294685990338,0.001,8.206410537608361,1000,5
BuenosAires,F008,0.11413651835396711,-0.0012077294685990338,0.005,2.664032933168544,1000,5
BuenosAires,F009,0.3417882210114064,-0.0012077294685990338,0.001,8.125520186552928,1000,5
BuenosAires,F010,0.21849410013173692,-0.0012077294685990338,0.001,5.269992753237427,1000,5
BuenosAires,F011,0.2416021317027721,-0.0012077294685990338,0.001,5.651324979260422,1000,5
BuenosAires,F012,0.08370016153864371,-0.0012077294685990338,0.035,2.0292812492069134,1000,5
BuenosAires,F013,0.23359584465619923,-0.0012077294685990338,0.001,5.6022191754004105,1000,5
BuenosAires,F014,0.03443775101397188,-0.0012077294685990338,0.393,0.8706714417614595,1000,5
BuenosAires,F015,0.19036907810074571,-0.0012077294685990338,0.001,4.5615471685531,1000,5
BuenosAires,F016,0.10884100512756956,-0.0012077294685990338,0.009,2.547078876126877,1000,5
BuenosAires,F017,0.2711372075932173,-0.0012077294685990338,0.001,6.318141379588182,1000,5
BuenosAires,F018,0.2018523605480334,-0.0012077294685990338,0.001,4.9801112101562115,1000,5
BuenosAires,F019,0.13947663186315012,-0.0012077294685990338,0.003,3.443672999667886,1000,5
BuenosAires,F020,0.23455880631277604,-0.0012077294685990338,0.001,5.454040562180634,1000,5
