method,n_boundary,n_edges,tau,n_units,within_var,within_var_z,boundary_contrast
sae,3180,128234,0.01294,5153,5e-06,-3441.182,0.239572
dino,4182,128234,0.04893,5622,3e-06,-3257.73,0.202332
pca,3884,128234,0.03809,5490,4e-06,-3402.442,0.208476
kmeans,250,128234,0.38196,3852,3.3e-05,-3436.778,0.367844
spatial,5152,128234,3e-05,6167,3.2e-05,-2846.135,0.008677
random,12824,128234,1.22988,7783,2.4e-05,-2636.67,0.002671
shuffled,12822,128234,0.85038,7926,2.6e-05,-2509.386,0.001742
