city_a,city_b,composition_similarity,cooccurrence_similarity,pattern
BuenosAires,Sydney,0.9673089245741023,0.40052261554023644,high_both
BuenosAires,Vienna,0.9457755597641012,0.3072816131246128,high_composition_low_cooccurrence
BuenosAires,Dhaka,0.8922100086769045,0.263454843440351,low_both
BuenosAires,SaoPaulo,0.9772658144985491,0.44484091008226145,high_both
BuenosAires,Toronto,0.9521364975329639,0.4201851351022369,high_both
BuenosAires,HongKong,0.9435913684394334,0.23236794983850512,high_composition_low_cooccurrence
BuenosAires,Bogota,0.9750882651402517,0.4090128338547619,high_both
BuenosAires,Paris,0.9614287732509801,0.3971917076620963,high_both
BuenosAires,Mumbai,0.9503079722723794,0.2125567303512731,high_composition_low_cooccurrence
BuenosAires,NewDelhi,0.9365863208238847,0.3510047254685393,low_both
BuenosAires,Jakarta,0.914906228295407,0.2904279042847156,low_both
BuenosAires,Osaka,0.928876105870721,0.3429640306473784,low_both
BuenosAires,KualaLumpur,0.9107427810216776,0.3071979651759405,low_both
BuenosAires,MexicoCity,0.9770677741372867,0.48006384192224544,high_both
BuenosAires,Amsterdam,0.8807323458501183,0.32332610497376646,low_both
BuenosAires,Lagos,0.878448573184253,0.2813687555966861,low_both
BuenosAires,Lima,0.9741440355975503,0.3913239261006711,high_both
BuenosAires,Manila,0.9613843321671611,0.3942276105819714,high_both
BuenosAires,Moscow,0.9373763253355591,0.3802559905387495,low_composition_high_cooccurrence
BuenosAires,Singapore,0.9175511454520183,0.30516287483587795,low_both
BuenosAires,CapeTown,0.9651361270676344,0.41559612495889214,high_both
BuenosAires,Johannesburg,0.9488367034289681,0.4367642562126872,high_both
BuenosAires,Seoul,0.9447068752693807,0.3713519665752842,high_both
BuenosAires,Taipei,0.9444872248861438,0.4122915760410353,high_both
BuenosAires,Bangkok,0.9560500264947612,0.26124552690575115,high_composition_low_cooccurrence
BuenosAires,Istanbul,0.9554176950576209,0.45686555221816083,high_both
BuenosAires,London,0.9216757728021417,0.34716438458718935,low_both
BuenosAires,LosAngeles,0.9518369410675055,0.39965710440969315,high_both
BuenosAires,NewYorkCity,0.9419233637012221,0.37696331794130405,high_both
Sydney,Vienna,0.9378082954414705,0.3273711041635296,low_both
Sydney,Dhaka,0.8573156965091389,0.1967515197090314,low_both
Sydney,SaoPaulo,0.9723948572633209,0.47141174182394274,high_both
Sydney,Toronto,0.9770260392625123,0.5005068148909999,high_both
Sydney,HongKong,0.9328437238731252,0.2635666884191621,low_both
Sydney,Bogota,0.9631608672728141,0.35394485766897055,high_composition_low_cooccurrence
Sydney,Paris,0.9502479267278342,0.33462769667753406,high_composition_low_cooccurrence
Sydney,Mumbai,0.9293249449506502,0.193811403914596,low_both
Sydney,NewDelhi,0.9119523997430947,0.26480936570050945,low_both
Sydney,Jakarta,0.8893956963366529,0.26998183888121086,low_both
Sydney,Osaka,0.9093323066117099,0.36276374410303763,low_composition_high_cooccurrence
Sydney,KualaLumpur,0.934311525721515,0.3738601826316578,low_composition_high_cooccurrence
Sydney,MexicoCity,0.9683765316570488,0.40451403219696064,high_both
Sydney,Amsterdam,0.8827718271176952,0.25824052823657695,low_both
Sydney,Lagos,0.8782486388900291,0.27519816362144645,low_both
Sydney,Lima,0.9467703717046905,0.27855455859825945,high_composition_low_cooccurrence
Sydney,Manila,0.9428732012562209,0.31311186104718863,high_composition_low_cooccurrence
Sydney,Moscow,0.9406019661060907,0.4208733935849418,low_composition_high_cooccurrence
Sydney,Singapore,0.9361111514399408,0.4228281244781019,low_composition_high_cooccurrence
Sydney,CapeTown,0.9780900284309602,0.505855608470964,high_both
Sydney,Johannesburg,0.9720317210300676,0.5022355633004775,high_both
Sydney,Seoul,0.9313769436314416,0.33376595075093973,low_both
Sydney,Taipei,0.9453000083712587,0.36884108474077426,high_both
Sydney,Bangkok,0.9506013487218454,0.30052820469094754,high_composition_low_cooccurrence
Sydney,Istanbul,0.9336271803093681,0.31871837589747254,low_both
Sydney,London,0.9264732735679355,0.3153808910081496,low_both
Sydney,LosAngeles,0.9795233750774195,0.6364255398732866,high_both
Sydney,NewYorkCity,0.9580314790900496,0.5696258301360516,high_both
Vienna,Dhaka,0.8989515571803455,0.2124395538358989,low_both
Vienna,SaoPaulo,0.956585086472891,0.32229831801244035,high_composition_low_cooccurrence
Vienna,Toronto,0.9604689211944307,0.2838329793449081,high_composition_low_cooccurrence
Vienna,HongKong,0.9591245412548182,0.31729429424321104,high_composition_low_cooccurrence
Vienna,Bogota,0.9522133489571004,0.27795494808158344,high_composition_low_cooccurrence
Vienna,Paris,0.9915448109188744,0.5420123164686406,high_both
Vienna,Mumbai,0.9590671054043499,0.20102306849734702,high_composition_low_cooccurrence
Vienna,NewDelhi,0.9535269981750057,0.3237521289831678,high_composition_low_cooccurrence
Vienna,Jakarta,0.914180331626334,0.254898058188869,low_both
Vienna,Osaka,0.9621788669331439,0.31034424347039297,high_composition_low_cooccurrence
Vienna,KualaLumpur,0.9302222261793518,0.28403884076413977,low_both
Vienna,MexicoCity,0.9440017773698076,0.3499255784033094,high_composition_low_cooccurrence
Vienna,Amsterdam,0.9371733045799701,0.39601353504234504,low_composition_high_cooccurrence
Vienna,Lagos,0.8675776425593672,0.24692189849918178,low_both
Vienna,Lima,0.9232147406559601,0.20690311131737577,low_both
Vienna,Manila,0.9464979654685638,0.3017587395105093,high_composition_low_cooccurrence
Vienna,Moscow,0.9639966574341614,0.4180404270844262,high_both
Vienna,Singapore,0.9384789381357516,0.2411892311735153,low_both
Vienna,CapeTown,0.9200572952605658,0.34351321732593626,low_both
Vienna,Johannesburg,0.9193891473880523,0.355446950710773,low_both
Vienna,Seoul,0.9773955672523118,0.3856513388775418,high_both
Vienna,Taipei,0.9656704428961818,0.32092283566037305,high_composition_low_cooccurrence
Vienna,Bangkok,0.9391909695633903,0.2611351144343733,low_both
Vienna,Istanbul,0.9807768712678665,0.5134431412433519,high_both
Vienna,London,0.9652401035829093,0.46921258182373987,high_both
Vienna,LosAngeles,0.9362149178135983,0.28232254661221423,low_both
Vienna,NewYorkCity,0.9688779773775131,0.3053001624028457,high_composition_low_cooccurrence
Dhaka,SaoPaulo,0.9014180051826114,0.30697899830382347,low_both
Dhaka,Toronto,0.8743974003485249,0.15936939028051694,low_both
Dhaka,HongKong,0.9101093267786156,0.32792666953645355,low_both
Dhaka,Bogota,0.8703158269244218,0.29181908492683173,low_both
Dhaka,Paris,0.9016288586051947,0.2837489373353616,low_both
Dhaka,Mumbai,0.9523136526922945,0.3667623694553168,high_both
