method,n_boundary,n_edges,tau,n_units,within_var,within_var_z,boundary_contrast
sae,116,21338,0.0094,842,1e-06,-1456.599,0.198259
dino,112,21338,0.0694,841,1e-06,-1454.653,0.203498
pca,128,21338,0.03805,848,1e-06,-1450.782,0.182125
kmeans,6,21338,0.38856,790,6e-06,-1458.329,0.58913
spatial,888,21338,3e-05,1207,6e-06,-1251.354,0.000489
random,2134,21338,1.23297,1472,4e-06,-1169.33,0.001147
shuffled,2128,21338,0.86511,1493,4e-06,-1107.627,0.000298
