gene,class,prevalence_n_cities,category,label,top_city,top_city_zh,top_share,top_lift_vs_global_mean,min_share_across_12,max_share,city_specificity_0to1,city_entropy_bits,present_cities_by_share,share_HongKong,share_Singapore,share_Amsterdam,share_CapeTown,share_Paris,share_SaoPaulo,share_MexicoCity,share_Sydney,share_Jakarta,share_Dhaka,share_NewDelhi,share_Manila,lift_HongKong,lift_Singapore,lift_Amsterdam,lift_CapeTown,lift_Paris,lift_SaoPaulo,lift_MexicoCity,lift_Sydney,lift_Jakarta,lift_Dhaka,lift_NewDelhi,lift_Manila
308,accessory_6to8cities,8,路面·道路,车行道,Jakarta,雅加达,0.0041517857,3.5873259,5.1020408e-05,0.0041517857,0.18434541,2.9240911,Jakarta|Manila|Paris|CapeTown|Singapore|SaoPaulo|Amsterdam|Sydney,0.00013392857,0.001192602,0.00067920918,0.0012181122,0.0020291241,0.00087372449,0.00020301871,0.00067389456,0.0041517857,0.00017963435,5.1020408e-05,0.0025021259,0.11572019,1.0304607,0.58686668,1.0525027,1.7532527,0.75493648,0.17541711,0.58227461,3.5873259,0.155212,0.044083882,2.161947
309,core_universal_12cities,12,路面·道路,车行道,Singapore,新加坡,0.0026456207,1.3890155,0.0013658588,0.0026456207,0.010010999,3.5490734,Singapore|HongKong|SaoPaulo|MexicoCity|Paris|Jakarta|Sydney|CapeTown|Dhaka|NewDelhi|Amsterdam|Manila,0.002428784,0.0026456207,0.0013934949,0.0016411565,0.0021247874,0.0023352466,0.0022778486,0.0018292942,0.0018399235,0.0015189201,0.0014551446,0.0013658588,1.2751709,1.3890155,0.73161884,0.86164721,1.1155653,1.2260615,1.1959261,0.96042413,0.96600474,0.79747012,0.76398642,0.71710924
310,accessory_6to8cities,6,建筑立面,建筑·结构,Jakarta,雅加达,0.0020631378,3.4087516,4.4642857e-05,0.0020631378,0.17370769,2.962227,Jakarta|Dhaka|Paris|Singapore|Manila|NewDelhi,0.00026679422,0.00086415816,7.0153061e-05,0.00016581633,0.00090880102,9.7789116e-05,0.00015412415,4.4642857e-05,0.0020631378,0.0010894983,0.00068664966,0.00085140306,0.44080199,1.427777,0.11590809,0.27396458,1.5015367,0.16156886,0.25464657,0.073759695,3.4087516,1.8000878,1.1344944,1.4067028
311,city_unique_1city,1,路面·道路,车行道,Singapore,新加坡,0.00063137755,3.0293243,6.164966e-05,0.00063137755,0.093241265,3.2506961,Singapore,0.00028805272,0.00063137755,0.00031781463,8.0782313e-05,0.00022534014,0.00011054422,0.00024340986,6.164966e-05,0.00012542517,6.9090136e-05,0.00011267007,0.00023490646,1.3820654,3.0293243,1.5248619,0.38759031,1.081173,0.53038674,1.1678708,0.2957926,0.60178495,0.33149171,0.54058648,1.1270718
312,regional_3to5cities,3,植被,树丛·灌木,Jakarta,雅加达,0.0071917517,5.686909,1.0629252e-06,0.0071917517,0.41270957,2.1054142,Jakarta|Dhaka|Manila,0.00031356293,0.0004857568,1.0629252e-06,0.00014880952,0.00019132653,0.00033907313,7.9719388e-05,9.5663265e-06,0.0071917517,0.0035193452,0.00016581633,0.0027295918,0.24795125,0.38411431,0.00084051271,0.11767178,0.15129229,0.26812356,0.063038453,0.0075646144,5.686909,2.7829376,0.13111998,2.1584366
313,core_universal_12cities,12,建筑立面,沿街立面,HongKong,香港,0.030515519,4.0007432,0.00068771259,0.030515519,0.27978339,2.5819495,HongKong|Singapore|Amsterdam|Paris|CapeTown|SaoPaulo|Sydney|NewDelhi|Manila|Jakarta|MexicoCity|Dhaka,0.030515519,0.020898172,0.019809736,0.0038977466,0.0070333759,0.0026020408,0.00097576531,0.0017910289,0.0010246599,0.00068771259,0.001151148,0.0011426446,4.0007432,2.739859,2.5971595,0.51101485,0.92211216,0.34114109,0.12792791,0.23481321,0.13433824,0.090162697,0.15092149,0.14980664
314,unused,0,车辆,车辆·店面,MexicoCity,墨西哥城,0.00037627551,3.7928571,1.0629252e-06,0.00037627551,0.21014805,2.8315896,,6.9090136e-05,3.1887755e-05,1.0629252e-06,2.869898e-05,6.377551e-06,0.00023384354,0.00037627551,9.5663265e-06,6.2712585e-05,9.7789116e-05,0.00015943878,0.00011373299,0.69642856,0.32142857,0.010714286,0.28928571,0.064285714,2.3571428,3.7928571,0.09642857,0.63214285,0.98571428,1.6071428,1.1464286
315,regional_3to5cities,3,建筑立面,沿街立面,Jakarta,雅加达,0.0034672619,5.6928447,5.3146259e-06,0.0034672619,0.44967656,1.9728889,Jakarta|Dhaka|Manila,7.4404762e-05,3.7202381e-05,5.3146259e-06,5.952381e-05,0.00013286565,5.4209184e-05,7.0153061e-05,7.4404762e-06,0.0034672619,0.0023203656,0.00030612245,0.00077380952,0.12216405,0.061082024,0.0087260035,0.097731239,0.21815009,0.089005235,0.11518325,0.012216405,5.6928447,3.8097731,0.5026178,1.2705061
316,core_universal_12cities,12,植被,树丛·灌木,Singapore,新加坡,0.026065051,2.1747716,0.0062478741,0.026065051,0.050960017,3.4022727,Singapore|Amsterdam|Dhaka|NewDelhi|Paris|Sydney|Jakarta|Manila|SaoPaulo|HongKong|CapeTown|MexicoCity,0.0073660714,0.026065051,0.024437713,0.0070843963,0.0099277211,0.0075382653,0.0062478741,0.0099266582,0.0084842687,0.014883078,0.014026361,0.0078348214,0.61459781,2.1747716,2.0389925,0.59109587,0.8283324,0.62896503,0.52129955,0.82824371,0.70789606,1.2417891,1.1703077,0.65370858
317,accessory_6to8cities,6,建筑立面,住宅·楼房,NewDelhi,新德里,0.0054846939,3.4565145,2.5510204e-05,0.0054846939,0.23305301,2.7494762,NewDelhi|SaoPaulo|Jakarta|Dhaka|HongKong|Manila,0.0016719813,0.00026041667,0.00013711735,9.9914966e-05,0.00030718537,0.0042017432,0.00044642857,2.5510204e-05,0.0031696429,0.0018941327,0.0054846939,0.0013424745,1.053701,0.16411745,0.086412861,0.062967511,0.1935916,2.6479848,0.2813442,0.016076811,1.9975438,1.1937032,3.4565145,0.8460422
