area_id,city,method,f_seam_agreement,f_internal_agreement,seam_gap
M01,UnitedStates/NewYorkCity,independent,0.07142857142857142,0.5453296703296703,0.4739010989010989
M02,Indonesia/Jakarta,independent,0.26785714285714285,0.5782967032967034,0.3104395604395605
M03,Singapore/Singapore,independent,0.21428571428571427,0.5041208791208791,0.2898351648351648
M04,Japan/Osaka,independent,0.08928571428571429,0.5260989010989011,0.4368131868131868
M05,Philippines/Manila,independent,0.10714285714285714,0.489010989010989,0.38186813186813184
M06,Thailand/Bangkok,independent,0.07142857142857142,0.5618131868131868,0.4903846153846154
M07,Mexico/MexicoCity,independent,0.17857142857142858,0.4793956043956044,0.30082417582417587
M08,Colombia/Bogota,independent,0.03571428571428571,0.5054945054945055,0.4697802197802198
M09,Turkey/Istanbul,independent,0.25,0.603021978021978,0.353021978021978
M10,France/Paris,independent,0.017857142857142856,0.5082417582417582,0.49038461538461536
M01,UnitedStates/NewYorkCity,token_overlap,0.44642857142857145,0.5178571428571429,0.07142857142857145
M02,Indonesia/Jakarta,token_overlap,0.23214285714285715,0.614010989010989,0.3818681318681319
M03,Singapore/Singapore,token_overlap,0.2857142857142857,0.5054945054945055,0.21978021978021978
M04,Japan/Osaka,token_overlap,0.375,0.49175824175824173,0.11675824175824173
M05,Philippines/Manila,token_overlap,0.32142857142857145,0.4519230769230769,0.13049450549450547
M06,Thailand/Bangkok,token_overlap,0.3392857142857143,0.5260989010989011,0.18681318681318682
M07,Mexico/MexicoCity,token_overlap,0.3392857142857143,0.46703296703296704,0.12774725274725274
M08,Colombia/Bogota,token_overlap,0.5,0.4697802197802198,-0.030219780219780223
M09,Turkey/Istanbul,token_overlap,0.39285714285714285,0.6085164835164835,0.21565934065934061
M10,France/Paris,token_overlap,0.30357142857142855,0.4958791208791209,0.19230769230769235
M01,UnitedStates/NewYorkCity,pixel_overlap,0.5892857142857143,0.4945054945054945,-0.09478021978021978
M02,Indonesia/Jakarta,pixel_overlap,0.5357142857142857,0.5975274725274725,0.061813186813186816
M03,Singapore/Singapore,pixel_overlap,0.5892857142857143,0.489010989010989,-0.10027472527472531
M04,Japan/Osaka,pixel_overlap,0.5178571428571429,0.4876373626373626,-0.03021978021978028
M05,Philippines/Manila,pixel_overlap,0.32142857142857145,0.46016483516483514,0.1387362637362637
M06,Thailand/Bangkok,pixel_overlap,0.6785714285714286,0.5178571428571429,-0.1607142857142857
M07,Mexico/MexicoCity,pixel_overlap,0.5357142857142857,0.45879120879120877,-0.07692307692307693
M08,Colombia/Bogota,pixel_overlap,0.5,0.4642857142857143,-0.0357142857142857
M09,Turkey/Istanbul,pixel_overlap,0.6607142857142857,0.6085164835164835,-0.052197802197802234
M10,France/Paris,pixel_overlap,0.5535714285714286,0.46703296703296704,-0.08653846153846156
