result_row,area_id,source_archetype_id,source_representative_rank,direction_id,panorama_id,city,heading,direction_index,image_path,jpg_offset,jpg_size,lat,lon,year,month,sample_key,was_in_analysis_cache,cached_image_id,cached_top1_match_fraction
18,M05,A05,1,H180,yR4HaQ5uu8VvUqcHLm4yFA,Philippines/Manila,180,2,/nas_data_24T/GSV/packages_main/cities/Philippines/Manila/shard-000401.tar,390896128,94461,14.64219480702591,120.9573246559979,2021,1,Philippines_Manila_yR4HaQ5uu8VvUqcHLm4yFA_180,True,233498,0.9897959183673469
19,M05,A05,1,H270,yR4HaQ5uu8VvUqcHLm4yFA,Philippines/Manila,270,3,/nas_data_24T/GSV/packages_main/cities/Philippines/Manila/shard-000401.tar,390992384,120879,14.64219480702591,120.9573246559979,2021,1,Philippines_Manila_yR4HaQ5uu8VvUqcHLm4yFA_270,False,,
20,M06,A06,2,H000,ukeJHe-PyDE7ualz5td5VA,Thailand/Bangkok,0,0,/nas_data_24T/GSV/packages_main/cities/Thailand/Bangkok/shard-000576.tar,155685376,104717,13.83801493383317,100.5693680502621,2020,11,Thailand_Bangkok_ukeJHe-PyDE7ualz5td5VA_0,False,,
21,M06,A06,2,H090,ukeJHe-PyDE7ualz5td5VA,Thailand/Bangkok,90,1,/nas_data_24T/GSV/packages_main/cities/Thailand/Bangkok/shard-000576.tar,156025856,76858,13.83801493383317,100.5693680502621,2020,11,Thailand_Bangkok_ukeJHe-PyDE7ualz5td5VA_90,True,326032,0.9591836734693877
22,M06,A06,2,H180,ukeJHe-PyDE7ualz5td5VA,Thailand/Bangkok,180,2,/nas_data_24T/GSV/packages_main/cities/Thailand/Bangkok/shard-000576.tar,155791872,115914,13.83801493383317,100.5693680502621,2020,11,Thailand_Bangkok_ukeJHe-PyDE7ualz5td5VA_180,True,323774,0.9744897959183674
23,M06,A06,2,H270,ukeJHe-PyDE7ualz5td5VA,Thailand/Bangkok,270,3,/nas_data_24T/GSV/packages_main/cities/Thailand/Bangkok/shard-000576.tar,155909632,114493,13.83801493383317,100.5693680502621,2020,11,Thailand_Bangkok_ukeJHe-PyDE7ualz5td5VA_270,False,,
24,M07,A07,1,H000,CyGzAR_d_Mi7OujGYCmDmQ,Mexico/MexicoCity,0,0,/nas_data_24T/GSV/packages_main/cities/Mexico/MexicoCity/shard-000256.tar,472771072,88155,19.35041011160614,-99.28409256306813,2014,11,Mexico_MexicoCity_CyGzAR_d_Mi7OujGYCmDmQ_0,True,187878,0.9897959183673469
25,M07,A07,1,H090,CyGzAR_d_Mi7OujGYCmDmQ,Mexico/MexicoCity,90,1,/nas_data_24T/GSV/packages_main/cities/Mexico/MexicoCity/shard-000256.tar,473007104,117777,19.35041011160614,-99.28409256306813,2014,11,Mexico_MexicoCity_CyGzAR_d_Mi7OujGYCmDmQ_90,False,,
26,M07,A07,1,H180,CyGzAR_d_Mi7OujGYCmDmQ,Mexico/MexicoCity,180,2,/nas_data_24T/GSV/packages_main/cities/Mexico/MexicoCity/shard-000256.tar,472861184,72137,19.35041011160614,-99.28409256306813,2014,11,Mexico_MexicoCity_CyGzAR_d_Mi7OujGYCmDmQ_180,False,,
27,M07,A07,1,H270,CyGzAR_d_Mi7OujGYCmDmQ,Mexico/MexicoCity,270,3,/nas_data_24T/GSV/packages_main/cities/Mexico/MexicoCity/shard-000256.tar,472934912,70146,19.35041011160614,-99.28409256306813,2014,11,Mexico_MexicoCity_CyGzAR_d_Mi7OujGYCmDmQ_270,True,184482,0.9795918367346939
28,M08,A08,1,H000,fooe9wu9hS1VqmJGXcpbcw,Colombia/Bogota,0,0,/nas_data_24T/GSV/packages_main/cities/Colombia/Bogota/shard-000075.tar,454309376,87128,4.733382428965706,-74.10999890434732,2022,3,Colombia_Bogota_fooe9wu9hS1VqmJGXcpbcw_0,False,,
29,M08,A08,1,H090,fooe9wu9hS1VqmJGXcpbcw,Colombia/Bogota,90,1,/nas_data_24T/GSV/packages_main/cities/Colombia/Bogota/shard-000075.tar,454598656,90667,4.733382428965706,-74.10999890434732,2022,3,Colombia_Bogota_fooe9wu9hS1VqmJGXcpbcw_90,True,89816,0.9795918367346939
30,M08,A08,1,H180,fooe9wu9hS1VqmJGXcpbcw,Colombia/Bogota,180,2,/nas_data_24T/GSV/packages_main/cities/Colombia/Bogota/shard-000075.tar,454398464,98972,4.733382428965706,-74.10999890434732,2022,3,Colombia_Bogota_fooe9wu9hS1VqmJGXcpbcw_180,False,,
31,M08,A08,1,H270,fooe9wu9hS1VqmJGXcpbcw,Colombia/Bogota,270,3,/nas_data_24T/GSV/packages_main/cities/Colombia/Bogota/shard-000075.tar,454499328,97425,4.733382428965706,-74.10999890434732,2022,3,Colombia_Bogota_fooe9wu9hS1VqmJGXcpbcw_270,True,101654,0.9540816326530612
32,M09,A01,2,H000,B5LhM2iZOdu-wn8oNo_rGg,Turkey/Istanbul,0,0,/nas_data_24T/GSV/packages_main/cities/Turkey/Istanbul/shard-000094.tar,433805312,72822,41.06648418445738,28.99365949453266,2014,5,Turkey_Istanbul_B5LhM2iZOdu-wn8oNo_rGg_0,False,,
33,M09,A01,2,H090,B5LhM2iZOdu-wn8oNo_rGg,Turkey/Istanbul,90,1,/nas_data_24T/GSV/packages_main/cities/Turkey/Istanbul/shard-000094.tar,433880064,51661,41.06648418445738,28.99365949453266,2014,5,Turkey_Istanbul_B5LhM2iZOdu-wn8oNo_rGg_90,True,340658,0.9744897959183674
34,M09,A01,2,H180,B5LhM2iZOdu-wn8oNo_rGg,Turkey/Istanbul,180,2,/nas_data_24T/GSV/packages_main/cities/Turkey/Istanbul/shard-000094.tar,433933312,56561,41.06648418445738,28.99365949453266,2014,5,Turkey_Istanbul_B5LhM2iZOdu-wn8oNo_rGg_180,True,328507,0.9795918367346939
35,M09,A01,2,H270,B5LhM2iZOdu-wn8oNo_rGg,Turkey/Istanbul,270,3,/nas_data_24T/GSV/packages_main/cities/Turkey/Istanbul/shard-000094.tar,433991680,53635,41.06648418445738,28.99365949453266,2014,5,Turkey_Istanbul_B5LhM2iZOdu-wn8oNo_rGg_270,False,,
36,M10,A08,8,H000,4nvSfB0WY-sdJMKBYWBO3A,France/Paris,0,0,/nas_data_24T/GSV/packages_main/cities/France/Paris/shard-000040.tar,771356672,73190,48.95424656811786,2.382526291086219,2016,8,France_Paris_4nvSfB0WY-sdJMKBYWBO3A_0,False,,
37,M10,A08,8,H090,4nvSfB0WY-sdJMKBYWBO3A,France/Paris,90,1,/nas_data_24T/GSV/packages_main/cities/France/Paris/shard-000040.tar,771601408,78504,48.95424656811786,2.382526291086219,2016,8,France_Paris_4nvSfB0WY-sdJMKBYWBO3A_90,True,102645,0.9693877551020408
38,M10,A08,8,H180,4nvSfB0WY-sdJMKBYWBO3A,France/Paris,180,2,/nas_data_24T/GSV/packages_main/cities/France/Paris/shard-000040.tar,771431424,82546,48.95424656811786,2.382526291086219,2016,8,France_Paris_4nvSfB0WY-sdJMKBYWBO3A_180,True,113309,0.9846938775510204
39,M10,A08,8,H270,4nvSfB0WY-sdJMKBYWBO3A,France/Paris,270,3,/nas_data_24T/GSV/packages_main/cities/France/Paris/shard-000040.tar,771515904,83634,48.95424656811786,2.382526291086219,2016,8,France_Paris_4nvSfB0WY-sdJMKBYWBO3A_270,False,,
