direction_id,heading,panorama_id,city,D000,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073,D074,D075,D076,D077,D078,D079,D080,D081,D082,D083,D084,D085,D086,D087,D088,D089,D090,D091,D092,D093,D094,D095,D096,D097,D098,D099,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384,D385,D386,D387,D388,D389,D390,D391,D392,D393,D394,D395,D396,D397,D398,D399,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D418,D419,D420,D421,D422,D423,D424,D425,D426,D427,D428,D429,D430,D431,D432,D433,D434,D435,D436,D437,D438,D439,D440,D441,D442,D443,D444,D445,D446,D447,D448,D449,D450,D451,D452,D453,D454,D455,D456,D457,D458,D459,D460,D461,D462,D463,D464,D465,D466,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D481,D482,D483,D484,D485,D486,D487,D488,D489,D490,D491,D492,D493,D494,D495,D496,D497,D498,D499,D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511
H000,0,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,1.5982422,1.181372,0.44906616,2.3242676,1.08479,2.1006348,0.44737548,1.6349121,1.1902344,2.1878905,1.6503417,2.6992188,1.2661377,1.1633301,0.8822266,1.776709,1.8837891,0.7845825,2.0291505,1.1268555,1.1996094,1.411377,0.73620605,0.5988525,0.98466796,2.4802735,0.6093628,0.99558103,0.8102539,0.92248535,0.6166626,2.2936034,1.1179199,0.899353,1.2164551,1.7166504,1.7864746,1.3322265,1.4945313,0.3699402,1.5374024,1.5106446,2.5273438,-0.13005753,1.8769042,1.1383789,1.3574463,1.2618897,1.8231446,2.886914,1.4461914,1.3835938,1.8207519,1.3878418,1.6476074,1.3562988,1.4884765,2.0058594,0.9134399,0.68399656,2.012256,1.7703125,1.1622803,0.23898736,1.2741699,0.9758545,1.1712891,1.3814453,1.8998047,1.241504,0.12738323,0.7092163,1.6188476,1.5023925,1.7763183,1.1984863,1.2589356,1.8152344,1.4536133,0.6336182,1.8940918,1.3529297,1.787207,1.4600098,1.7455566,0.6623413,1.451123,0.63046265,0.55217284,2.2658691,1.4263672,-0.015643883,1.816211,1.0146484,1.5245117,0.83999026,1.3267578,1.5528809,1.3490722,0.14998016,1.091211,1.8260742,1.0198486,1.4629883,1.8949707,3.3765626,1.7766602,1.2243652,1.0986084,1.9455566,1.4836426,0.111493684,1.3291016,2.200293,1.5288575,2.0996583,1.3521484,1.1427246,1.2372558,2.7845702,0.19335556,1.0412353,1.3308105,1.3959472,2.064209,1.1816406,1.5756836,0.68374026,1.3627441,0.57087404,1.609375,2.8216796,2.2789063,1.526001,0.48353118,0.98173827,2.0620117,0.8386963,2.5882812,1.363916,1.719043,1.190625,1.8538086,1.5722167,1.0025146,1.1386963,1.1324707,1.9128418,2.0191894,1.4269043,1.5759766,0.8802002,0.9053467,1.0818603,2.1023927,1.4306152,1.807959,2.1800294,1.3287598,1.7835449,0.9157715,1.8367188,0.9966553,2.8188477,2.2859864,1.3274415,1.1748779,1.5212402,1.7921875,1.1288574,1.5535157,2.2090821,0.56498414,1.2759033,1.3546387,1.9519043,1.2050781,1.7870117,2.0966308,1.6704102,2.09209,1.8569336,1.1448486,1.5475585,0.6439575,1.5323242,2.0916991,0.86833495,0.53378296,1.3015137,1.7178711,1.5935059,1.4455566,0.8857422,1.50625,1.4927734,1.3211426,0.915625,1.4728028,1.4542968,0.5408325,1.19292,2.019287,1.8967285,1.5887207,0.65003663,1.0468994,1.6914062,1.475879,2.434375,1.5338867,0.782019,2.9850585,1.9102539,1.3380371,2.2202148,1.3121582,1.4343262,1.995752,0.44813234,0.74550784,1.2152832,1.5422363,2.5579102,1.3477051,0.022370815,1.9430664,0.8151123,1.730957,0.96882325,0.289563,1.0660156,1.8448731,1.6209961,0.89172363,0.673291,2.2665038,1.612793,1.0338379,0.9720947,1.6876953,1.3179687,0.23456725,1.2822266,0.9906494,1.9799316,1.4317871,0.8077637,1.8305175,1.0209472,1.1656494,2.235742,1.8063476,0.5675049,1.0275635,1.2135254,1.6181641,1.3773438,0.8230225,1.4523926,1.6310546,1.1187744,1.2510254,0.49190062,0.69058836,0.3376831,3.0614257,2.6948242,1.5654297,2.0259767,2.4183593,1.4726074,1.5420411,0.93991697,2.2534668,0.2044181,1.4499756,1.3681641,2.6907227,1.9774902,1.4385254,1.4077637,1.6593262,1.1555176,2.0992675,1.4714355,1.5820801,1.6540039,0.5057861,3.0589843,0.9512207,0.29215088,2.4351563,2.065625,2.1645508,0.8977051,1.0605224,1.017627,1.7894043,1.606836,1.5568848,0.91833496,0.7378906,1.7035644,1.8965333,1.9335449,1.5213379,1.1181396,0.8859863,0.42304078,1.5833985,1.3271484,0.9040772,1.7827637,0.24668808,1.4228516,2.07334,1.4995606,2.1739259,1.4571778,0.49889526,1.261499,1.0044677,0.34098205,1.2208496,2.394336,1.5765136,0.81503904,1.9322754,3.3421874,1.2776368,1.1821289,1.929004,1.612793,1.0191162,2.144043,2.230371,2.4315429,1.1028564,1.4139649,1.341748,2.1867676,2.0725586,1.3007568,0.32424316,1.8444335,1.346289,1.1833985,1.1558106,0.41715392,0.7385498,0.3850525,2.1358886,1.7877442,0.6680298,1.3631347,2.3173828,0.5834839,0.9964844,1.7150879,1.6566406,2.4989257,0.8574707,1.6743653,1.6669433,1.1724122,1.2625,0.3708008,1.6796875,1.6994629,0.8467041,0.8244629,2.088672,1.967041,1.6601074,1.698877,0.69443357,1.7053711,1.2296143,1.1337646,1.3402344,1.447705,1.7496582,0.9079834,0.7422241,1.5666993,2.432422,1.4799316,0.74504393,1.573877,1.4697266,1.6329101,1.6049805,1.5455078,2.9890625,1.8874023,1.4520508,1.7759765,0.97712404,1.0382569,1.1660156,0.42127687,0.7855469,1.9730957,1.6550782,1.12583,1.2231201,0.7497314,0.8291504,1.3990723,1.3704102,0.43148804,2.5605469,2.1789062,0.22774963,0.57075197,0.6028198,0.7619995,2.8325195,1.7994629,0.9032593,1.9557617,1.6591797,1.3266602,1.1924804,0.6704834,2.043213,1.7285645,0.97211915,2.1530762,0.9650391,0.90889895,1.3885742,1.7761719,1.4573243,1.1241211,2.0562987,3.256543,1.6446778,1.1644776,1.7585449,1.9689453,1.4897461,1.0657715,1.5454102,0.9713379,1.4867675,1.1405761,1.4739746,2.222461,2.7677734,1.0234131,1.1008056,0.44818115,1.8155273,2.1973145,2.0249512,1.708545,1.6230958,0.87229,1.2140137,2.1228516,0.94281006,1.174585,2.1782715,1.729834,2.2677245,1.860205,0.8372803,1.0347168,1.4360352,2.1191895,2.1044433,1.2127686,1.4373047,0.5880615,2.0891602,2.3656738,1.2630371,2.136084,1.6916993,1.1395019,0.8698975,0.6487549,1.1281983,0.731897,0.98146975,0.5316528,1.3448242,0.60617673,0.8177002,2.9188476,1.3519531,1.187207,1.0862305,2.3126953,2.609668,0.47077638,1.1145264,2.1949706,0.7222412,0.67091066,2.1421387,2.2691894,0.54661864,1.356836,0.97617185,1.3891357,1.5654297,0.43498534,0.985791,1.8728027
H090,90,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,1.8771973,0.9502441,0.20102358,1.9874023,0.9023682,2.735742,1.2016846,1.4972656,0.852417,1.4807129,2.2057617,2.3625,1.3975098,1.0700439,0.50783694,1.7896973,1.6176269,1.6729492,2.008496,1.481836,1.3832031,1.8496583,-0.14652252,0.054774188,1.0902588,2.5857422,0.21602936,1.2881836,1.377002,0.70875245,0.54378664,1.9989258,1.1748779,0.9047119,1.5316406,1.6575196,0.43950194,0.8756348,1.175586,0.28599453,1.0606445,1.6600097,2.2197754,-0.14810029,1.9163574,1.3858887,0.9574463,1.5981934,1.5454102,2.3572266,1.9271972,1.3158203,1.1254394,1.3009765,1.0454102,1.0135987,1.1373291,1.7352539,0.6948242,1.199585,1.8502929,1.8289063,0.77390134,0.6499634,0.88613284,0.745166,1.1638428,2.182666,1.7970215,1.7394531,-0.21232338,0.8043701,1.7368653,1.2341797,1.4370117,1.1707764,1.5713379,1.2638428,1.2841308,0.6193115,2.0671387,1.3394043,1.6857421,2.2929688,1.1778564,0.39624023,1.488623,0.7853149,0.72387695,2.2802246,1.9709473,0.37960815,1.7714355,0.5757446,1.1709961,1.0491211,1.331836,0.92163086,0.876416,0.10941009,1.1513672,1.8106934,1.5247558,1.1344483,1.4808594,3.5064454,1.5944335,1.136499,1.211621,2.0338867,1.0573486,-0.21858978,2.1428711,2.341455,1.651709,1.5361817,1.4696289,1.3444335,0.8588379,2.032959,0.8084961,0.9807617,1.1296142,1.5816895,1.2009277,1.5105469,1.3178222,1.1246582,1.6206543,-0.052340485,0.9870361,1.8034668,1.7059082,1.9598144,0.4043579,0.50664675,2.267334,1.4930176,2.565918,2.1136231,2.0517578,1.2864258,1.948584,1.4339844,0.7494629,0.53890383,1.0337403,2.0879395,1.8322754,1.9073731,1.2886963,1.0710938,0.5399658,0.5815918,1.9645507,0.9961914,2.1141114,1.5771973,0.3043396,1.8154297,1.1032715,1.6365235,1.3243164,2.705957,1.6222168,1.4171875,1.6818359,1.4046386,2.3617187,0.9711426,1.9021485,2.2233398,0.36475983,1.2446289,1.6825683,1.4862792,0.8646973,1.8814453,2.6230469,1.4582031,2.1154296,1.2293946,0.96711427,1.2009522,0.901416,1.6982422,2.719336,0.73710936,1.0515625,1.4688965,0.970874,1.1656005,1.3202149,0.55864257,1.343457,2.0364747,1.3947754,0.59501344,0.93129885,1.2394043,0.8936523,1.5806153,2.1422362,0.8416748,1.6750977,0.4960327,0.95219725,2.1181152,0.9505371,1.8822266,1.8507812,0.72595215,3.1796875,2.499707,1.2913574,1.8958008,1.1643311,1.1952881,2.0018554,0.6272095,0.86433107,1.3098633,1.2444824,2.0276368,1.4627441,0.5220215,1.7157227,0.5279907,1.5204589,1.2907226,0.365728,1.0312011,1.0838623,2.666504,1.1038086,0.44052124,1.7589356,1.7152344,0.5894165,0.88513184,1.5112305,1.8221191,0.22417602,0.65321046,1.2893066,1.7821777,1.7276367,1.180249,1.4883301,0.8328125,0.7496582,2.1432617,2.5003905,0.7302734,1.5790527,1.1233399,1.6875489,1.1486328,0.86184084,1.4811035,1.2234375,1.4057617,1.2593018,0.69985354,1.1540039,0.43675536,2.9067383,2.4936523,1.1046143,1.9559082,2.1533692,2.0637696,1.8710449,0.31739196,1.7339844,0.7281006,0.69975585,0.8946045,2.5164063,1.7208496,0.6971191,1.05708,0.6922119,0.62507325,2.3239257,1.6812989,1.567627,1.7308105,0.42196044,2.9521484,0.7921387,0.41560668,2.9291015,2.0870605,2.4041991,0.9934204,0.9773682,0.86806643,2.2288086,0.97436523,1.8878906,1.0877197,0.83017576,1.713623,0.7854248,2.0387695,1.5012696,1.3480957,1.1911865,0.4584961,1.9022949,1.5055664,1.0444336,1.6871582,0.848999,1.3585937,1.894873,2.0805664,1.5018066,1.6079102,0.5659424,1.2123047,1.1383057,0.5991089,1.4746583,2.1853027,1.7504883,1.0987549,1.8487304,2.975586,1.6538575,1.7611816,1.822705,2.0440917,1.7546875,2.324707,2.9040039,2.4848633,1.6120605,1.3641846,1.1492431,2.2769532,2.233008,1.2295166,0.558252,2.0589843,1.5685059,1.0783936,1.4610351,0.6020752,1.2771972,0.409021,1.627539,1.3901367,1.2048584,1.4237792,2.3953125,0.37460327,1.5450684,1.5728515,1.1884766,2.9705079,0.30266723,1.4754394,1.8976074,0.97734374,0.66258544,1.1928955,1.6141113,0.963916,0.65251464,0.22906208,1.8803711,2.1930664,0.90202636,1.5750488,0.5954956,1.3523438,1.9190918,1.263086,1.6717774,0.58703613,1.90542,0.64873046,1.0161133,1.2365723,2.5330079,1.6382812,1.3667481,0.78411865,1.3467286,1.7360351,1.3339355,1.2313477,1.9930176,1.9259278,1.55708,1.4216064,1.1571534,1.5998535,1.046582,0.3585022,0.8173706,1.2466309,1.7503418,0.727832,0.9611572,1.2183106,0.9674805,0.9168701,1.379248,0.47427064,2.5625,2.676953,0.038024902,0.50775146,0.5467041,0.80986327,2.6054688,2.0891113,0.77770996,2.078467,1.288379,1.2485352,0.704541,1.2375488,1.5325196,1.562793,1.0733398,2.2898927,1.8851563,0.7997559,-0.00025787353,1.9785156,1.9373047,0.9824463,2.06875,3.070996,2.1635742,1.1710694,0.81582034,1.9893554,1.9137207,1.0138671,1.0079101,1.1979004,1.7075684,1.3847656,1.4621582,2.0669923,2.5131836,1.4284668,0.84626466,0.70512694,1.8081543,1.6685547,2.3392577,1.1425537,2.0511718,0.53692627,1.0853271,1.6839355,0.34424743,0.9595703,1.8512207,1.7825196,1.8815429,1.4921386,1.4242675,1.2385743,1.2731934,1.9445801,1.0387452,1.2458985,2.6003907,0.2572624,1.6563476,1.8514649,1.0158203,1.4272461,1.1242187,1.2860352,1.4672852,1.286206,1.0997803,0.85095215,0.8370117,0.44141847,1.8922364,0.81533206,1.1847413,2.0372558,1.5640137,0.99970704,1.1362549,2.310498,1.8051269,0.5817383,0.68498534,2.2791016,0.7758789,0.8298828,1.7873535,2.7246094,0.61490476,2.1319337,0.20551176,0.9613525,1.7790039,0.8410889,1.3690186,1.6705567
H180,180,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,1.3230712,1.1820313,0.9220947,1.7725098,0.97663575,1.4500977,1.0353028,1.1483399,0.63323975,1.8688965,1.9968262,2.6609375,1.9839356,1.8436524,0.8247925,2.1295898,2.1941407,1.3626953,1.6496093,1.9458497,1.9592774,1.3958496,0.74579465,0.6935913,1.3912109,2.2212403,0.5510376,0.96994627,0.8248291,0.9006103,1.1036133,2.6708007,1.0647705,0.7183472,1.0888672,1.4103028,1.5508789,1.1064942,1.1570556,0.8147461,1.0188965,1.6266114,1.8980469,0.19552794,1.8165528,1.1840332,1.2184082,0.81533206,1.7744629,2.131543,1.7303222,0.9613525,1.3712403,1.4763184,1.6266601,1.3313477,1.3436524,1.816748,0.5449341,0.5245606,1.7843262,1.4641113,0.94204104,0.41453856,1.059668,0.30908623,1.1976563,1.640918,1.6708008,1.0559571,0.2982039,1.1887451,1.633496,0.8464111,1.5955079,1.1641357,1.2747071,1.580664,1.7540528,0.6741211,1.8741211,0.8234863,1.4548829,1.4222168,1.4544433,0.78669435,1.7709961,0.75565183,1.1687988,2.4007812,1.0190185,0.28990477,2.418506,1.3333251,1.2874024,1.7268066,0.77255857,0.6114868,1.5013183,-0.07275925,0.86103517,1.8732421,1.1887207,1.8339355,2.0219727,3.5483398,2.663379,1.3248535,1.2911866,1.4887695,1.7413574,0.81540525,2.0803711,2.2947755,1.4100586,1.3723633,1.1482666,1.5098633,0.7083374,2.228125,0.70706785,1.1560303,0.779187,1.2946289,1.7459961,1.5651367,1.3965333,1.2538818,1.6419433,0.27915916,1.2243164,2.6899414,2.1432128,0.65284425,0.39087525,1.1914307,1.923291,1.5161133,1.9323242,2.3095703,1.5645508,1.3856446,1.948877,1.8119141,1.0108398,1.170337,1.0759277,2.2158692,1.5633789,1.9960938,1.6886231,1.2611573,0.76311034,0.69881594,1.9893067,1.6002929,1.0815185,1.5755371,1.072583,1.5591797,0.9364502,2.4125,0.6489624,2.725293,2.1190917,1.2180176,0.9456299,2.1410644,1.6730957,1.5666504,1.9831543,2.6794922,0.63057864,1.5294434,1.9416993,2.2487793,0.45726928,1.9921386,2.2794921,1.693457,1.8105469,2.6125977,1.3016113,1.4252441,0.72573245,1.845166,2.3550782,0.80859375,0.5985962,1.2547607,1.8757324,1.3912109,1.8359864,0.89804685,1.4506836,1.8679199,0.79870605,1.1579345,0.9887451,1.1693115,1.2544922,1.1128418,2.3013673,1.6684326,0.9954834,0.9717041,1.3436524,1.841748,1.3630371,2.17666,1.4755859,0.99125975,1.922705,1.7086426,1.2273194,1.8085938,0.93671876,1.8986328,1.7583497,0.7320679,1.1377442,1.1464112,1.4207764,1.5463378,0.68861085,0.1949768,1.4843261,0.6829834,1.3890136,1.3118652,0.395636,0.9104004,1.3867676,1.7425781,0.90671384,1.3350586,2.8473632,1.2222168,0.771875,0.7581787,0.97160643,1.5638672,0.43707275,1.3711914,1.4837891,2.4114258,1.3448731,1.3018554,1.6304687,0.9854248,1.1682861,1.6484864,2.0020995,0.5647705,1.2215332,1.2889649,1.6041015,1.3426758,0.45395508,0.70666504,1.2686523,1.440332,1.1477051,0.30903625,0.65625,0.9532959,2.7375,1.7728027,1.4591796,2.509961,2.241748,1.5362793,1.925586,0.58487546,1.4396973,0.3784302,0.92714846,1.2052978,1.8192871,2.0198731,1.0437744,1.5978028,1.3017578,1.3221436,2.400586,1.2515625,1.5089356,2.108789,0.59836423,2.2754884,1.3581054,0.5728394,2.02417,2.3861327,1.8554688,1.5618652,1.1455323,0.8997803,1.8092773,1.8522949,1.4946778,0.97941893,0.59317625,1.4618164,1.3293946,2.0283692,1.2239258,1.1961426,1.348877,0.62832034,2.0125976,1.3986816,0.79577637,1.9299316,0.76845706,1.4396973,1.6344726,1.8947265,0.75928956,1.4977539,0.37680665,1.2407715,1.1418457,0.6779541,1.3461425,2.3047853,1.5827637,1.0348632,1.7432129,2.8322265,0.8240601,1.2724121,1.8635254,1.980127,1.3084472,3.051953,2.8874023,2.7088866,0.8558105,1.3313965,1.0422852,1.4304199,2.628418,1.0043457,1.276123,1.685498,1.845459,0.7894043,1.6599121,0.6912109,1.3448242,0.21914463,1.1110595,2.459961,1.0022217,1.6540527,2.2918458,0.678125,1.3029296,1.9208984,1.46875,2.7264647,0.8831787,1.7124512,2.132959,1.2930664,0.7608887,1.071167,1.9148926,1.5897949,0.77463377,0.85891116,2.334375,1.9820801,1.3191407,2.1049316,1.0811036,1.6117188,1.4815918,0.5381714,1.3913085,1.6524903,1.9084473,0.8220215,0.8469971,1.4578125,2.3067384,1.5413574,0.6690674,1.8870118,1.7552735,1.7992675,1.715918,1.6562011,1.9750977,1.8010254,1.4041504,1.5674804,1.7523925,0.96154785,1.1349609,0.39285278,1.0722412,1.9280274,1.6826172,1.192041,1.0006104,1.2022216,0.8112305,1.1996094,1.9762695,1.2441651,2.6009278,2.3956542,0.03916931,-0.19035873,0.58181155,1.5080566,2.6921875,2.250342,1.0146484,2.081201,1.3518555,1.003247,1.3110107,0.6114868,1.3134277,1.1013672,0.05794525,2.4982421,1.4019043,0.82119143,0.57281494,1.6896973,2.0181642,1.1191651,2.4612305,3.1089845,2.383496,1.3384521,1.5336425,2.1605468,2.1295898,0.9652344,0.7566284,0.91606444,1.0469726,1.6672363,1.2582763,2.2648437,2.2790527,1.0864502,1.1897461,1.0115967,1.7152832,1.6766602,1.7113769,1.6933105,1.4066406,0.2876404,0.85754395,1.8609864,0.76036376,0.87141114,1.9266113,1.5744629,2.0006835,1.5763184,1.0549072,1.1468506,0.84851074,2.5896974,0.9954834,1.34458,1.5889648,0.7626953,2.0978026,2.5640626,1.5504882,2.0894532,1.1327881,1.2713867,0.44536743,0.8890625,1.0312256,0.64665526,1.3256347,1.4280761,1.3904297,1.5873535,1.387378,2.6398437,2.145752,0.95544434,1.2205566,1.9644043,2.2291017,0.4331665,0.7817871,2.183789,0.6854126,0.88857424,2.5589843,2.589746,0.77802736,1.1711915,0.76564944,1.1773437,1.1447998,0.33928794,1.0431397,1.9147949
H270,270,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,1.7662109,0.857959,0.185703,2.3314452,1.1679199,1.8013184,1.3580567,1.6196778,0.8423096,1.602246,2.0666993,2.4486327,1.0367432,1.4300293,0.9690674,1.8873047,1.2936035,0.73006594,2.1250489,1.2426269,1.4537109,1.4071289,-0.26512298,1.1030029,1.4278809,2.7348633,0.7308472,1.5083497,0.76875,0.4022705,0.7213745,2.6688476,1.2113769,0.70582277,1.314209,1.8640625,0.675,0.8940674,1.1908691,0.011569214,1.2279053,1.2313964,2.1188476,-0.16903229,1.342334,1.0450928,0.8839844,1.1290772,1.4418457,2.0020995,1.8330567,0.9732178,1.7845215,1.41875,1.6246094,1.7786133,1.236206,1.2421386,0.96828616,1.1398681,1.6302735,1.7774414,0.95839846,1.0515503,0.9528076,0.63091433,1.223999,1.1824707,1.1136719,1.4735352,-0.25919095,1.2050292,1.1641357,0.93291014,1.9511719,1.5416504,1.1130127,2.0970702,1.5742188,0.30213624,1.4355469,1.9753907,2.3237305,1.4713379,1.5756347,0.7002441,1.1916993,0.64312744,0.7333008,2.619629,1.2325195,-0.08299103,1.9970214,1.0915039,0.8040039,1.6217285,1.7817872,1.3580567,1.097461,-0.01923523,1.2257569,1.5677735,0.96169436,1.4947754,1.0165527,3.0870118,2.374707,1.4122559,0.959375,1.9916992,0.8345703,0.088625714,1.4935058,2.0586426,1.6932129,1.9300781,1.4062989,1.6589844,1.3910888,2.3754883,0.29452324,0.9312744,1.2101806,1.3042481,1.741504,0.9667969,1.7820313,1.0121826,1.5726074,0.35132447,1.3450683,1.8607422,2.7231445,0.8974365,0.43252182,0.9112793,1.1028321,0.9823486,2.5768554,2.2793458,1.9106934,1.3597656,2.5649414,1.5456054,0.4940918,0.8803223,1.3371582,1.9108887,1.7997558,1.87417,1.4360352,1.4501953,1.4946778,0.5621826,1.7674316,0.73483884,1.7520996,1.285083,0.5813354,1.5949707,1.2473633,2.1910644,1.2338135,2.616211,1.5311524,1.2058594,1.1036621,1.2143066,3.05166,1.2430176,1.3747559,2.5120118,0.4888153,1.7555664,1.2800293,2.437207,0.811499,2.2118163,1.6324219,1.4040527,1.5722656,2.2446778,1.1554444,1.0907471,1.2904541,1.8011719,2.5945313,-0.112996295,0.9129394,1.6848633,1.6671875,1.5182129,1.9541016,1.3512695,0.95061034,2.1438477,1.2122071,0.21735403,1.0317872,1.5745118,0.75566405,0.44636232,2.0989258,1.671875,1.2650878,0.52648926,0.98361814,1.652832,0.6527222,2.3591797,1.3949707,1.1356933,2.3972168,2.380371,1.1927246,1.7402833,1.6954101,1.3299805,1.8086914,1.6159668,1.0948486,1.2986329,0.8829346,2.1337402,0.95,-0.3633545,1.494043,0.21562652,1.5769043,1.3599609,0.584668,1.4731934,0.8641602,2.1134276,1.0015869,1.617334,1.6168457,1.6176758,0.6252319,0.8868164,1.3638672,1.3268067,0.6524048,1.2347901,1.0812744,1.7953613,1.4465332,0.96601564,2.0776856,0.77078855,0.4527832,1.8853515,2.455957,0.4494873,1.2519042,1.3726075,1.3268067,1.470166,0.6416992,0.95883787,0.649707,1.1080322,1.4035645,0.23655395,0.7159668,1.1094971,2.8742187,2.1075683,1.3840821,2.6608398,1.715039,1.5775878,1.6915039,0.6647461,1.9441894,0.44420165,0.9803467,0.502948,2.403418,1.4125977,0.80307615,0.9349121,0.65424806,1.1960449,1.7448242,1.4856933,1.5398926,1.3359375,0.8876343,2.3237305,0.67496336,0.41168213,2.9635742,1.9125488,1.8422852,0.79191893,1.206372,1.1375977,1.337793,1.4955078,2.1859374,0.79677737,0.67626953,1.3632568,1.2651123,1.8511231,1.4754883,1.1261231,0.980127,1.3106445,1.6233886,2.1234374,1.1025391,2.040625,0.9245361,1.9926758,1.3175293,1.6539551,1.3871582,1.2854248,0.26636353,1.3096435,0.63057864,0.52327883,1.3021485,2.2969728,1.25083,1.0536865,1.9512208,3.6945312,1.0354493,1.3865235,1.8090332,1.9675293,1.3593261,2.1507812,2.6068358,2.3278809,1.7352539,2.0021973,0.6711914,1.574414,1.9688965,1.5405273,1.0858399,1.6396973,1.4566895,1.1349121,1.5197754,0.2386322,1.2721679,0.029689025,1.3909668,1.0125977,0.64976805,1.7879394,1.6194336,0.4064087,1.2901123,1.9773926,1.5445801,2.7489257,0.80668944,1.3848145,1.4894531,1.2467773,0.94416505,0.34934694,2.1475587,1.7496094,0.7693359,-0.011768723,2.2895997,1.5073731,1.9175293,1.7922363,0.3637329,1.4575195,1.2907226,0.87995607,0.7753906,1.0986817,1.6895996,0.67489016,1.2743652,1.7695312,2.5711913,1.476416,1.2625488,1.2543457,1.5195557,1.496582,1.31167,1.7970215,2.578125,1.652002,1.3777344,1.4782715,1.7618653,1.2409668,1.5634277,0.7120606,0.6034058,1.3407714,2.139502,0.7739258,0.93337405,0.8421875,0.9918701,0.8237427,1.7274902,1.1304443,2.180127,2.971875,0.62403566,0.084291264,1.1236328,1.2444824,2.9413085,2.5399413,1.1034667,1.4702637,1.4705079,0.56695557,0.41529924,1.346582,1.7319336,1.619043,0.36203003,2.8789062,1.1162109,1.1313965,0.8787109,1.7947266,1.5769043,0.49399415,2.0822754,2.0870118,1.6430664,0.7525635,0.93815917,2.0648437,2.1502442,0.42069092,1.0395019,0.9782715,1.1296142,1.6833007,1.2301757,1.8645996,1.8729004,1.6851562,1.2958984,0.73336184,1.7265625,2.13833,1.9073731,1.6719726,2.2149415,1.1567383,0.833374,2.0448241,0.705249,1.1666992,2.057422,1.3203614,1.5532715,1.9697754,1.1333008,1.328955,1.4605469,2.295166,1.8369141,1.132251,2.7074218,-0.09067001,1.9055176,2.239453,0.7499512,1.5541992,1.1625977,1.193042,0.86463624,0.7057983,1.0029786,0.50931394,0.48395997,1.038916,1.5345215,0.5884644,1.1578858,2.4256835,2.1816895,0.7898682,1.3200684,1.7955078,2.5819335,0.7878906,1.3273926,2.589746,0.727417,0.7722168,1.7607422,2.729297,0.49385986,1.5609863,0.26276094,1.4462402,2.0235353,0.8298584,1.1689942,1.8734375
