direction_id,panorama_id,city,heading,direction_index,image_path,jpg_offset,jpg_size,lat,lon,year,month,sample_key,was_in_analysis_cache,cached_image_id,cached_top1_match_fraction
H000,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,0,0,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,509946368,104386,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_0,True,377445,0.9897959183673469
H090,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,90,1,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,510052352,108045,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_90,False,,
H180,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,180,2,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,510162432,91160,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_180,True,368570,0.9795918367346939
H270,BFlilbUSNYggO3YcnRY3kg,UnitedStates/NewYorkCity,270,3,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000199.tar,510255616,99955,40.89517472490672,-73.85979552568753,2021,9,UnitedStates_NewYorkCity_BFlilbUSNYggO3YcnRY3kg_270,False,,
